DISTRICT,SCHOOL,BEDSCODE,GNUMERATOR_OVERALL,GDENOM_OVERALL,GPERCENT_OVERALL,GNUMERATOR_GENDER_M,GDENOM_GENDER_M,GPERCENT_GENDER_M,GNUMERATOR_GENDER_F,GDENOM_GENDER_F,GPERCENT_GENDER_F,GNUMERATOR_RACE_W,GDENOM_RACE_W,GPERCENT_RACE_W,GNUMERATOR_RACE_B,GDENOM_RACE_B,GPERCENT_RACE_B,GNUMERATOR_RACE_H,GDENOM_RACE_H,GPERCENT_RACE_H,GNUMERATOR_RACE_I,GDENOM_RACE_I,GPERCENT_RACE_I,GNUMERATOR_RACE_A,GDENOM_RACE_A,GPERCENT_RACE_A,GNUMERATOR_DISABLED_NO,GDENOM_DISABLED_NO,GPERCENT_DISABLED_NO,GNUMERATOR_DISABLED_YES,GDENOM_DISABLED_YES,GPERCENT_DISABLED_YES,GNUMERATOR_POVERTY_NO,GDENOM_POVERTY_NO,GPERCENT_POVERTY_NO,GNUMERATOR_POVERTY_YES,GDENOM_POVERTY_YES,GPERCENT_POVERTY_YES,GNUMERATOR_MIGRANT_NO,GDENOM_MIGRANT_NO,GPERCENT_MIGRANT_NO,GNUMERATOR_MIGRANT_YES,GDENOM_MIGRANT_YES,GPERCENT_MIGRANT_YES,GNUMERATOR_LEP_NO,GDENOM_LEP_NO,GPERCENT_LEP_NO,GNUMERATOR_LEP_YES,GDENOM_LEP_YES,GPERCENT_LEP_YES,GNUMERATOR_HOMELESS_YES,GDENOM_HOMELESS_YES,GPERCENT_HOMELESS_YES,GNUMERATOR_HOMELESS_NO,GDENOM_HOMELESS_NO,GPERCENT_HOMELESS_NO,GNUMERATOR_FOSTER_YES,GDENOM_FOSTER_YES,GPERCENT_FOSTER_YES,GNUMERATOR_FOSTER_NO,GDENOM_FOSTER_NO,GPERCENT_FOSTER_NO
Aiken,RIDGE SPRING-MONETTA MIDDLE HIGH,201060,41,46,89.13,16,21,76.19,25,25,100.00,19,22,86.36,18,20,90.00,-1,-1,-1.00,,,,,,,35,36,97.22,6,10,60.00,-1,-1,-1.00,31,34,91.18,41,46,89.13,,,,39,44,88.64,-1,-1,-1.00,-1,-1,-1.00,37,42,88.10,,,,41,46,89.13
Aiken,AIKEN PERFORMING ARTS ACADEMY CHARTER,201603,10,10,100.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,,,,-1,-1,-1.00,,,,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,10,10,100.00,,,,10,10,100.00,,,,,,,10,10,100.00,,,,10,10,100.00
Aiken,DISTRICT NO CHARTER,201888,1418,1595,88.90,703,828,84.90,715,767,93.22,781,851,91.77,506,602,84.05,114,125,91.20,-1,-1,-1.00,14,14,100.00,1326,1428,92.86,92,167,55.09,683,700,97.57,687,784,87.63,1418,1595,88.90,,,,1350,1518,88.93,68,77,88.31,47,63,74.60,1371,1532,89.49,-1,-1,-1.00,1416,1593,88.89
Aiken,DISTRICT WITH CHARTER,201999,1428,1605,88.97,710,835,85.03,718,770,93.25,784,854,91.80,512,608,84.21,114,125,91.20,-1,-1,-1.00,14,14,100.00,1335,1437,92.90,93,168,55.36,684,701,97.57,693,790,87.72,1428,1605,88.97,,,,1360,1528,89.01,68,77,88.31,47,63,74.60,1381,1542,89.56,-1,-1,-1.00,1426,1603,88.96
Allendale,ALLENDALE FAIRFAX HIGH,301001,75,101,74.26,33,55,60.00,42,46,91.30,-1,-1,-1.00,71,97,73.20,-1,-1,-1.00,,,,,,,71,93,76.34,-1,-1,-1.00,15,15,100.00,60,79,75.95,75,101,74.26,,,,74,100,74.00,-1,-1,-1.00,-1,-1,-1.00,75,100,75.00,,,,75,101,74.26
Allendale,DISTRICT NO CHARTER,301888,75,101,74.26,33,55,60.00,42,46,91.30,-1,-1,-1.00,71,97,73.20,-1,-1,-1.00,,,,,,,71,93,76.34,-1,-1,-1.00,15,15,100.00,60,79,75.95,75,101,74.26,,,,74,100,74.00,-1,-1,-1.00,-1,-1,-1.00,75,100,75.00,,,,75,101,74.26
Allendale,DISTRICT WITH CHARTER,301999,75,101,74.26,33,55,60.00,42,46,91.30,-1,-1,-1.00,71,97,73.20,-1,-1,-1.00,,,,,,,71,93,76.34,-1,-1,-1.00,15,15,100.00,60,79,75.95,75,101,74.26,,,,74,100,74.00,-1,-1,-1.00,-1,-1,-1.00,75,100,75.00,,,,75,101,74.26
Anderson 1,PALMETTO HIGH,401001,226,265,85.28,110,139,79.14,116,126,92.06,181,208,87.02,19,23,82.61,24,32,75.00,,,,-1,-1,-1.00,206,228,90.35,20,37,54.05,99,102,97.06,116,122,95.08,226,265,85.28,,,,211,244,86.48,15,21,71.43,10,11,90.91,216,254,85.04,-1,-1,-1.00,223,260,85.77
Anderson 1,POWDERSVILLE HIGH,401002,194,200,97.00,103,108,95.37,91,92,98.91,161,165,97.58,18,19,94.74,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,182,186,97.85,12,14,85.71,140,141,99.29,51,53,96.23,194,200,97.00,,,,188,194,96.91,-1,-1,-1.00,-1,-1,-1.00,191,197,96.95,,,,194,200,97.00
Anderson 1,WREN HIGH,401003,268,298,89.93,138,155,89.03,130,143,90.91,229,254,90.16,24,29,82.76,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,235,249,94.38,33,49,67.35,179,186,96.24,79,85,92.94,268,298,89.93,,,,262,292,89.73,-1,-1,-1.00,7,10,70.00,261,288,90.63,-1,-1,-1.00,267,295,90.51
Anderson 1,DISTRICT NO CHARTER,401888,688,763,90.17,351,402,87.31,337,361,93.35,571,627,91.07,61,71,85.92,37,46,80.43,-1,-1,-1.00,16,17,94.12,623,663,93.97,65,100,65.00,418,429,97.44,246,260,94.62,688,763,90.17,,,,661,730,90.55,27,33,81.82,20,24,83.33,668,739,90.39,-1,-1,-1.00,684,755,90.60
Anderson 1,DISTRICT WITH CHARTER,401999,688,763,90.17,351,402,87.31,337,361,93.35,571,627,91.07,61,71,85.92,37,46,80.43,-1,-1,-1.00,16,17,94.12,623,663,93.97,65,100,65.00,418,429,97.44,246,260,94.62,688,763,90.17,,,,661,730,90.55,27,33,81.82,20,24,83.33,668,739,90.39,-1,-1,-1.00,684,755,90.60
Anderson 2,BELTON HONEA PATH HIGH,402012,247,293,84.30,133,170,78.24,114,123,92.68,197,229,86.03,45,57,78.95,-1,-1,-1.00,,,,-1,-1,-1.00,228,253,90.12,19,40,47.50,128,128,100.00,104,126,82.54,247,293,84.30,,,,243,288,84.38,-1,-1,-1.00,-1,-1,-1.00,246,289,85.12,,,,247,293,84.30
Anderson 2,DISTRICT NO CHARTER,402888,247,293,84.30,133,170,78.24,114,123,92.68,197,229,86.03,45,57,78.95,-1,-1,-1.00,,,,-1,-1,-1.00,228,253,90.12,19,40,47.50,128,128,100.00,104,126,82.54,247,293,84.30,,,,243,288,84.38,-1,-1,-1.00,-1,-1,-1.00,246,289,85.12,,,,247,293,84.30
Anderson 2,DISTRICT WITH CHARTER,402999,247,293,84.30,133,170,78.24,114,123,92.68,197,229,86.03,45,57,78.95,-1,-1,-1.00,,,,-1,-1,-1.00,228,253,90.12,19,40,47.50,128,128,100.00,104,126,82.54,247,293,84.30,,,,243,288,84.38,-1,-1,-1.00,-1,-1,-1.00,246,289,85.12,,,,247,293,84.30
Anderson 3,CRESCENT HIGH,403022,148,160,92.50,69,75,92.00,79,85,92.94,126,133,94.74,17,20,85.00,-1,-1,-1.00,-1,-1,-1.00,,,,137,144,95.14,11,16,68.75,67,67,100.00,74,81,91.36,148,160,92.50,,,,146,157,92.99,-1,-1,-1.00,7,12,58.33,141,148,95.27,-1,-1,-1.00,148,159,93.08
Anderson 3,DISTRICT NO CHARTER,403888,148,161,91.93,69,75,92.00,79,86,91.86,126,134,94.03,17,20,85.00,-1,-1,-1.00,-1,-1,-1.00,,,,137,144,95.14,11,17,64.71,67,67,100.00,74,82,90.24,148,161,91.93,,,,146,158,92.41,-1,-1,-1.00,7,12,58.33,141,149,94.63,-1,-1,-1.00,148,160,92.50
Anderson 3,DISTRICT WITH CHARTER,403999,148,161,91.93,69,75,92.00,79,86,91.86,126,134,94.03,17,20,85.00,-1,-1,-1.00,-1,-1,-1.00,,,,137,144,95.14,11,17,64.71,67,67,100.00,74,82,90.24,148,161,91.93,,,,146,158,92.41,-1,-1,-1.00,7,12,58.33,141,149,94.63,-1,-1,-1.00,148,160,92.50
Anderson 4,PENDLETON HIGH,404027,198,233,84.98,85,111,76.58,113,122,92.62,153,181,84.53,39,44,88.64,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,183,203,90.15,15,30,50.00,100,102,98.04,84,99,84.85,198,233,84.98,,,,197,232,84.91,-1,-1,-1.00,12,15,80.00,186,218,85.32,-1,-1,-1.00,198,232,85.34
Anderson 4,DISTRICT NO CHARTER,404888,198,233,84.98,85,111,76.58,113,122,92.62,153,181,84.53,39,44,88.64,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,183,203,90.15,15,30,50.00,100,102,98.04,84,99,84.85,198,233,84.98,,,,197,232,84.91,-1,-1,-1.00,12,15,80.00,186,218,85.32,-1,-1,-1.00,198,232,85.34
Anderson 4,DISTRICT WITH CHARTER,404999,198,233,84.98,85,111,76.58,113,122,92.62,153,181,84.53,39,44,88.64,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,183,203,90.15,15,30,50.00,100,102,98.04,84,99,84.85,198,233,84.98,,,,197,232,84.91,-1,-1,-1.00,12,15,80.00,186,218,85.32,-1,-1,-1.00,198,232,85.34
Anderson 5,T. L. HANNA HIGH,405038,402,468,85.90,196,241,81.33,206,227,90.75,250,275,90.91,119,155,76.77,22,26,84.62,,,,12,14,85.71,373,417,89.45,29,51,56.86,244,249,97.99,153,182,84.07,402,468,85.90,,,,385,446,86.32,17,22,77.27,8,16,50.00,394,452,87.17,-1,-1,-1.00,401,467,85.87
Anderson 5,WESTSIDE HIGH,405048,317,402,78.86,155,201,77.11,162,201,80.60,159,206,77.18,135,171,78.95,20,22,90.91,,,,-1,-1,-1.00,288,350,82.29,29,52,55.77,117,120,97.50,194,229,84.72,317,402,78.86,,,,300,385,77.92,17,17,100.00,18,29,62.07,299,373,80.16,-1,-1,-1.00,317,399,79.45
Anderson 5,ANDERSON  FIVE CHARTER SCHOOL,405601,30,36,83.33,9,14,64.29,21,22,95.45,25,31,80.65,-1,-1,-1.00,,,,-1,-1,-1.00,,,,29,30,96.67,-1,-1,-1.00,16,16,100.00,10,12,83.33,30,36,83.33,,,,29,35,82.86,-1,-1,-1.00,-1,-1,-1.00,30,35,85.71,,,,30,36,83.33
Anderson 5,DISTRICT NO CHARTER,405888,719,870,82.64,351,442,79.41,368,428,85.98,409,481,85.03,254,326,77.91,42,48,87.50,,,,15,17,88.24,661,767,86.18,58,103,56.31,361,369,97.83,347,411,84.43,719,870,82.64,,,,685,831,82.43,34,39,87.18,26,45,57.78,693,825,84.00,-1,-1,-1.00,718,866,82.91
Anderson 5,DISTRICT WITH CHARTER,405999,749,906,82.67,360,456,78.95,389,450,86.44,434,512,84.77,258,330,78.18,42,48,87.50,-1,-1,-1.00,15,17,88.24,690,797,86.57,59,109,54.13,377,385,97.92,357,423,84.40,749,906,82.67,,,,714,866,82.45,35,40,87.50,26,46,56.52,723,860,84.07,-1,-1,-1.00,748,902,82.93
Bamberg 1,BAMBERG-EHRHARDT HIGH,501001,90,117,76.92,54,73,73.97,36,44,81.82,33,40,82.50,55,73,75.34,-1,-1,-1.00,,,,-1,-1,-1.00,83,105,79.05,7,12,58.33,28,29,96.55,60,75,80.00,90,117,76.92,,,,90,117,76.92,,,,-1,-1,-1.00,88,113,77.88,,,,90,117,76.92
Bamberg 1,DISTRICT NO CHARTER,501888,90,117,76.92,54,73,73.97,36,44,81.82,33,40,82.50,55,73,75.34,-1,-1,-1.00,,,,-1,-1,-1.00,83,105,79.05,7,12,58.33,28,29,96.55,60,75,80.00,90,117,76.92,,,,90,117,76.92,,,,-1,-1,-1.00,88,113,77.88,,,,90,117,76.92
Bamberg 1,DISTRICT WITH CHARTER,501999,90,117,76.92,54,73,73.97,36,44,81.82,33,40,82.50,55,73,75.34,-1,-1,-1.00,,,,-1,-1,-1.00,83,105,79.05,7,12,58.33,28,29,96.55,60,75,80.00,90,117,76.92,,,,90,117,76.92,,,,-1,-1,-1.00,88,113,77.88,,,,90,117,76.92
Bamberg 2,DENMARK OLAR HIGH,502007,36,43,83.72,10,13,76.92,26,30,86.67,,,,35,42,83.33,-1,-1,-1.00,,,,-1,-1,-1.00,32,39,82.05,-1,-1,-1.00,-1,-1,-1.00,31,33,93.94,35,42,83.33,-1,-1,-1.00,35,42,83.33,-1,-1,-1.00,,,,36,43,83.72,,,,36,43,83.72
Bamberg 2,DISTRICT NO CHARTER,502888,36,43,83.72,10,13,76.92,26,30,86.67,,,,35,42,83.33,-1,-1,-1.00,,,,-1,-1,-1.00,32,39,82.05,-1,-1,-1.00,-1,-1,-1.00,31,33,93.94,35,42,83.33,-1,-1,-1.00,35,42,83.33,-1,-1,-1.00,,,,36,43,83.72,,,,36,43,83.72
Bamberg 2,DISTRICT WITH CHARTER,502999,36,43,83.72,10,13,76.92,26,30,86.67,,,,35,42,83.33,-1,-1,-1.00,,,,-1,-1,-1.00,32,39,82.05,-1,-1,-1.00,-1,-1,-1.00,31,33,93.94,35,42,83.33,-1,-1,-1.00,35,42,83.33,-1,-1,-1.00,,,,36,43,83.72,,,,36,43,83.72
Barnwell 19,BLACKVILLE-HILDA HIGH,619001,36,42,85.71,19,23,82.61,17,19,89.47,-1,-1,-1.00,30,34,88.24,-1,-1,-1.00,,,,,,,34,37,91.89,-1,-1,-1.00,-1,-1,-1.00,28,31,90.32,35,41,85.37,-1,-1,-1.00,35,41,85.37,-1,-1,-1.00,-1,-1,-1.00,36,40,90.00,,,,36,42,85.71
Barnwell 19,DISTRICT NO CHARTER,619888,36,42,85.71,19,23,82.61,17,19,89.47,-1,-1,-1.00,30,34,88.24,-1,-1,-1.00,,,,,,,34,37,91.89,-1,-1,-1.00,-1,-1,-1.00,28,31,90.32,35,41,85.37,-1,-1,-1.00,35,41,85.37,-1,-1,-1.00,-1,-1,-1.00,36,40,90.00,,,,36,42,85.71
Barnwell 19,DISTRICT WITH CHARTER,619999,36,42,85.71,19,23,82.61,17,19,89.47,-1,-1,-1.00,30,34,88.24,-1,-1,-1.00,,,,,,,34,37,91.89,-1,-1,-1.00,-1,-1,-1.00,28,31,90.32,35,41,85.37,-1,-1,-1.00,35,41,85.37,-1,-1,-1.00,-1,-1,-1.00,36,40,90.00,,,,36,42,85.71
Barnwell 29,WILLISTON-ELKO HIGH,629006,64,70,91.43,28,29,96.55,36,41,87.80,25,27,92.59,35,39,89.74,-1,-1,-1.00,-1,-1,-1.00,,,,56,60,93.33,8,10,80.00,16,17,94.12,44,45,97.78,64,70,91.43,,,,63,69,91.30,-1,-1,-1.00,-1,-1,-1.00,61,66,92.42,,,,64,70,91.43
Barnwell 29,DISTRICT NO CHARTER,629888,64,70,91.43,28,29,96.55,36,41,87.80,25,27,92.59,35,39,89.74,-1,-1,-1.00,-1,-1,-1.00,,,,56,60,93.33,8,10,80.00,16,17,94.12,44,45,97.78,64,70,91.43,,,,63,69,91.30,-1,-1,-1.00,-1,-1,-1.00,61,66,92.42,,,,64,70,91.43
Barnwell 29,DISTRICT WITH CHARTER,629999,64,70,91.43,28,29,96.55,36,41,87.80,25,27,92.59,35,39,89.74,-1,-1,-1.00,-1,-1,-1.00,,,,56,60,93.33,8,10,80.00,16,17,94.12,44,45,97.78,64,70,91.43,,,,63,69,91.30,-1,-1,-1.00,-1,-1,-1.00,61,66,92.42,,,,64,70,91.43
Barnwell 45,BARNWELL HIGH,645009,141,169,83.43,70,88,79.55,71,81,87.65,63,73,86.30,74,91,81.32,-1,-1,-1.00,,,,-1,-1,-1.00,129,148,87.16,12,21,57.14,54,55,98.18,83,91,91.21,141,169,83.43,,,,139,166,83.73,-1,-1,-1.00,-1,-1,-1.00,140,168,83.33,-1,-1,-1.00,140,168,83.33
Barnwell 45,DISTRICT NO CHARTER,645888,141,176,80.11,70,91,76.92,71,85,83.53,63,76,82.89,74,95,77.89,-1,-1,-1.00,,,,-1,-1,-1.00,129,148,87.16,12,28,42.86,54,55,98.18,83,97,85.57,141,176,80.11,,,,139,173,80.35,-1,-1,-1.00,-1,-1,-1.00,140,175,80.00,-1,-1,-1.00,140,174,80.46
Barnwell 45,DISTRICT WITH CHARTER,645999,141,176,80.11,70,91,76.92,71,85,83.53,63,76,82.89,74,95,77.89,-1,-1,-1.00,,,,-1,-1,-1.00,129,148,87.16,12,28,42.86,54,55,98.18,83,97,85.57,141,176,80.11,,,,139,173,80.35,-1,-1,-1.00,-1,-1,-1.00,140,175,80.00,-1,-1,-1.00,140,174,80.46
Beaufort,BEAUFORT HIGH,701002,300,367,81.74,147,193,76.17,153,174,87.93,157,185,84.86,109,132,82.58,27,41,65.85,-1,-1,-1.00,-1,-1,-1.00,283,338,83.73,17,29,58.62,164,166,98.80,133,155,85.81,300,365,82.19,-1,-1,-1.00,294,354,83.05,6,13,46.15,6,10,60.00,294,357,82.35,,,,300,367,81.74
Beaufort,HILTON HEAD ISLAND HIGH,701003,309,337,91.69,136,156,87.18,173,181,95.58,175,183,95.63,41,48,85.42,86,99,86.87,,,,-1,-1,-1.00,297,317,93.69,12,20,60.00,189,193,97.93,105,118,88.98,309,337,91.69,,,,249,268,92.91,60,69,86.96,-1,-1,-1.00,305,332,91.87,-1,-1,-1.00,309,336,91.96
Beaufort,BATTERY CREEK HIGH,701004,170,222,76.58,81,117,69.23,89,105,84.76,61,78,78.21,83,107,77.57,19,29,65.52,-1,-1,-1.00,-1,-1,-1.00,160,197,81.22,10,25,40.00,63,67,94.03,103,123,83.74,170,222,76.58,,,,156,203,76.85,14,19,73.68,-1,-1,-1.00,169,220,76.82,,,,170,222,76.58
Beaufort,BLUFFTON HIGH,701030,259,297,87.21,109,129,84.50,150,168,89.29,113,126,89.68,49,55,89.09,89,107,83.18,-1,-1,-1.00,10,10,100.00,249,278,89.57,10,19,52.63,139,144,96.53,107,119,89.92,259,297,87.21,,,,198,219,90.41,61,78,78.21,-1,-1,-1.00,256,294,87.07,-1,-1,-1.00,259,296,87.50
Beaufort,WHALE BRANCH EARLY COLLEGE HIGH,701036,87,98,88.78,39,46,84.78,48,52,92.31,-1,-1,-1.00,78,87,89.66,-1,-1,-1.00,-1,-1,-1.00,,,,80,86,93.02,7,12,58.33,19,20,95.00,64,70,91.43,87,98,88.78,,,,87,98,88.78,,,,-1,-1,-1.00,82,92,89.13,,,,87,98,88.78
Beaufort,MAY RIVER HIGH,701039,217,223,97.31,98,102,96.08,119,121,98.35,140,144,97.22,31,32,96.88,40,40,100.00,,,,-1,-1,-1.00,205,207,99.03,12,16,75.00,143,143,100.00,69,71,97.18,217,223,97.31,,,,188,193,97.41,29,30,96.67,-1,-1,-1.00,211,216,97.69,-1,-1,-1.00,216,222,97.30
Beaufort,ISLANDS ACADEMY,701041,6,21,28.57,5,12,41.67,-1,-1,-1.00,-1,-1,-1.00,3,11,27.27,-1,-1,-1.00,,,,,,,5,19,26.32,-1,-1,-1.00,-1,-1,-1.00,5,11,45.45,6,21,28.57,,,,6,20,30.00,-1,-1,-1.00,,,,6,21,28.57,,,,6,21,28.57
Beaufort,DISTRICT NO CHARTER,701888,1349,1568,86.03,615,757,81.24,734,811,90.51,656,734,89.37,394,472,83.47,263,321,81.93,-1,-1,-1.00,36,40,90.00,1280,1445,88.58,69,123,56.10,719,737,97.56,586,667,87.86,1349,1566,86.14,-1,-1,-1.00,1179,1357,86.88,170,211,80.57,25,33,75.76,1324,1535,86.25,-1,-1,-1.00,1348,1565,86.13
Beaufort,DISTRICT WITH CHARTER,701999,1349,1568,86.03,615,757,81.24,734,811,90.51,656,734,89.37,394,472,83.47,263,321,81.93,-1,-1,-1.00,36,40,90.00,1280,1445,88.58,69,123,56.10,719,737,97.56,586,667,87.86,1349,1566,86.14,-1,-1,-1.00,1179,1357,86.88,170,211,80.57,25,33,75.76,1324,1535,86.25,-1,-1,-1.00,1348,1565,86.13
Berkeley,STRATFORD HIGH,801001,413,487,84.80,186,233,79.83,227,254,89.37,254,286,88.81,95,115,82.61,40,57,70.18,-1,-1,-1.00,21,25,84.00,379,434,87.33,34,53,64.15,234,249,93.98,168,198,84.85,413,487,84.80,,,,386,444,86.94,27,43,62.79,5,10,50.00,408,477,85.53,,,,413,487,84.80
Berkeley,BERKELEY HIGH,801002,346,410,84.39,168,207,81.16,178,203,87.68,175,206,84.95,138,167,82.63,17,21,80.95,-1,-1,-1.00,-1,-1,-1.00,320,356,89.89,26,54,48.15,179,189,94.71,153,186,82.26,346,410,84.39,,,,334,395,84.56,12,15,80.00,-1,-1,-1.00,344,407,84.52,-1,-1,-1.00,346,409,84.60
Berkeley,CROSS HIGH,801006,40,52,76.92,18,26,69.23,22,26,84.62,7,11,63.64,33,40,82.50,,,,-1,-1,-1.00,,,,33,39,84.62,7,13,53.85,-1,-1,-1.00,33,39,84.62,40,52,76.92,,,,40,52,76.92,,,,-1,-1,-1.00,37,47,78.72,,,,40,52,76.92
Berkeley,GOOSE CREEK HIGH,801007,391,512,76.37,173,257,67.32,218,255,85.49,146,186,78.49,176,237,74.26,46,64,71.88,-1,-1,-1.00,24,27,88.89,352,431,81.67,39,81,48.15,181,202,89.60,195,251,77.69,391,512,76.37,,,,363,470,77.23,28,42,66.67,13,17,76.47,378,495,76.36,-1,-1,-1.00,390,511,76.32
Berkeley,HANAHAN HIGH,801008,239,276,86.59,117,142,82.39,122,134,91.04,137,156,87.82,66,79,83.54,20,25,80.00,-1,-1,-1.00,12,12,100.00,225,252,89.29,14,24,58.33,133,138,96.38,96,110,87.27,239,276,86.59,,,,219,252,86.90,20,24,83.33,9,10,90.00,230,266,86.47,-1,-1,-1.00,239,274,87.23
