ReportCardYear,DistrictNm,SchoolNm,SCHOOLID,Report Card Type,street,city,state,zip,GRADESPAN,Enrollment,hdphone,URL,headname,supername,chair,TeacherCount
2022,"Aiken County
Public Schools",Greendale Elementary,201030,E,505 South Boundary SE,New Ellenton,SC,29809,PK-5,374,803,https://www.acpsd.net/GRES,Caroline Barker,,,27
2022,"Aiken County
Public Schools",Hammond Hill Elementary,201031,E,901 West Woodlawn Avenue,North Augusta,SC,29841,PK-5,654,803-442-6170,www.acpsd.net/hhes,Eric L. Jeffcoat,,,43
2022,"Aiken County
Public Schools",Jackson Stem Magnet Middle School,201033,M,18731 Atomic Road,Jackson,SC,29831,6-8,374,803-471-2237,https://www.acpsd.net/Domain/9,"Perry Smith, Sr.",,,23
2022,"Aiken County
Public Schools",Millbrook Elementary,201035,E,255 East Pine Log Rd,Aiken,SC,29803,PK-5,651,803-641-2580,www.acpsd.net/MES,John Metts,,,42
2022,"Aiken County
Public Schools",North Aiken Elementary School,201038,E,100 Bears Rock Road,Aiken,SC,29801,PK-5,456,803-641-2690,www.acpsd.neet/NAIES,Elisa Sanders-Pee,,,32
2022,"Aiken County
Public Schools",North Augusta Elementary School,201039,E,400 East Spring Grove Avenue,North Augusta,SC,29841,PK-5,659,803-442-6280,https://www.acpsd.net/NAUES,Patricia J. Wilson,,,44
2022,"Aiken County
Public Schools",Cyril B. Busbee Elementary School,201051,E,20 A. L. Corbett Circle,Wagener,SC,29164,PK-5,477,803-564-1000,"https://www.acpsd.net/BUSBEE
",Sonya Colvin,,,33
2022,"Aiken County
Public Schools",Warrenville Elementary,201052,E,569 Howlandville Road,Warrenville,SC,29851,PK-5,358,803-663-4270,https://www.acpsd.net/WES,Charlene Heard,,,27
2022,"Aiken County
Public Schools",Oakwood-Windsor Elementary,201054,E,3773 Charleston Highway,Aiken,SC,29801,PK-5,388,803-641-2560,https://www.acpsd.net/OWES,Davina Truitt,,,32
2022,"Aiken County
Public Schools",Redcliffe Elementary School,201055,E,22 Double Springs Road,Aiken,SC,29803,PK-5,647,803-827-3350,https://www.acpsd.net/RES,Terra van der Linden,,,41
2022,"Aiken County
Public Schools",Chukker Creek Elementary,201056,E,1830 Chukker Creek Road,Aiken,SC,29803,PK-5,648,803-641-2474,https://www.acpsd.net/CCES,Sara-Beth Brown,,,40
2022,"Aiken County
Public Schools",Mossy Creek Elementary School,201058,E,421 W Five Notch Road,North Augusta,SC,29841,PK-5,611,803-442-6090,https://www.acpsd.net/MCES,Jeffery A Matthews,,,44
2022,"Aiken County
Public Schools",Ridge Spring-Monetta Elementary School,201059,E,1081 Trojan Road,Monetta,SC,29105,PK-5,354,803-685-2000,https://www.acpsd.net/Domain/43,Callie Herlong,,,27
2022,"Aiken County
Public Schools",Ridge Spring-Monetta High School,201060,H,1071 Trojan Rd.,Monetta,SC,29105,9-12,265,803-685-2100,https://www.acpsd.net/Domain/17,Dr. KaRon L. Webb,,,22
2022,"Aiken County
Public Schools",Aiken Scholars Academy,201061,H,"471 University Parkway, Box 12",Aiken,SC,29802,9-12,169,803-306-1400,https://www.acpsd.net/Domain/45,Martha Messick,,,6
2022,"Aiken County
Public Schools",Ridge Spring-Monetta Middle,201062,M,1071 Trojan Road,Monetta,SC,29105,6-8,194,803-685-2500,https://www.acpsd.net/Domain/6718,Sidney Johnson,,,16
2022,"Aiken County
Public Schools",A. L. Corbett Middle,201063,M,10 A. L. Corbett Circle,Wagener,SC,29164,6-8,220,8035641050,acpsd.net/CORBETT,Michelle B. Kennedy,,,12
2022,"Aiken County
Public Schools",Graniteville Elementary,201066,E,1 Willis Circle,Graniteville,SC,29829,PK-5,357,8036639998,acpsd.net/GVES,Michelle Padgett,,,27
2022,"Aiken County
Public Schools",Aiken Intermediate School,201067,M,687 Explorer Trail,Aiken,SC,29801,6,505,803-641-2570,https://www.acpsd.net/Domain/10,Eileen Denise McCray,,,31
2022,"Aiken County
Public Schools",Aiken County Public Schools,201999,D,1000 BROOKHAVEN DR,AIKEN,SC,29803,PK-12,22800,803-641-2428,https://www.acpsd.net/,Mr. King Laurence,"Mr. King
Laurence","Dr. John
Bradley",1502
2022,"Allendale
County Schools",Allendale Fairfax High School,301001,H,3581 Allendale-Fairfax Highway,Fairfax,SC,29827,9-12,292,803-584-2311,https://afhs.acs.k12.sc.us/o/afhs,Darlene Hall,,,25
2022,"Allendale
County Schools",Allendale-Fairfax Elementary School,301004,E,3305 Allendale-Fairfax Highway,Fairfax,SC,29827,PK-5,486,803-584-3476,ales.acs.k12.sc.us,Sheila Leath,,,36
2022,"Allendale
County Schools",Allendale-Fairfax Middle School,301008,M,3581 Allendale-Fairfax Hwy,Fairfax,SC,29827,6-8,214,803-584-3489,https://afms.acs.k12.sc.us/o/afms,Dr. Willie Robinson,,,17
2022,"Allendale
County Schools",Allendale County Schools,301999,D,3249 Allendale-Fairfax Hwy,Fairfax,SC,29827,PK-12,992,803-584-4603,www.acs.k12.sc.us,Dr. Margaret Gilmore,"Dr. Margaret
Gilmore",N/A,78
2022,"Anderson
School District
One",Palmetto High School,401001,H,804 North Hamilton Street,Williamston,SC,29697,9-12,985,8648477311,https://www.anderson1.org/Domain/971,Robby Roach,,,58
2022,"Anderson
School District
One",Powdersville High,401002,H,145 Hood Road,Greenville,SC,29611,9-12,964,864-312-5641,https://www.anderson1.org/Domain/1278,Dr. Chris Ferguson,,,51
2022,"Anderson
School District
One",Wren High School,401003,H,905 Wren School Rd,Piedmont,SC,29673,9-12,1204,864-850-5900,https://www.anderson1.org/Domain/1101,Dr. Seth Young,,,61
2022,"Anderson
School District
One",Palmetto Elementary,401004,E,1 Roberts Blvd.,Williamston,SC,29697,PK-5,567,864-847-544,https://www.anderson1.org/Domain/330,Amy W. Cothran,,,38
2022,"Anderson
School District
One",Cedar Grove Elementary,401005,E,107 Melvin Lane,Williamston,SC,29697,PK-5,544,8648473500,https://www.anderson1.org/Domain/121,Kristie Finley,,,40
2022,"Anderson
School District
One",Concrete Primary School,401006,P,535 Powdersville Main,Easley,SC,29642,PK-2,811,864-269-4571,https://www.anderson1.org/cces,Sherry Padgett,,,43
2022,"Anderson
School District
One",Wren Middle,401008,M,1010 Wren School Road,Piedmont,SC,29673,6-8,957,864-850-5930,https://www.anderson1.org/Domain/879,Jon Shoffstall,,,56
2022,"Anderson
School District
One",West Pelzer Elementary School,401009,E,110 W Stewart Street,Pelzer,SC,29669,PK-5,389,864-947-6424,https://www.anderson1.org/Domain/557,Amy C Bagwell,,,33
2022,"Anderson
School District
One",Spearman Elementary,401011,E,2001 Easley Hwy,Piedmont,SC,29673,PK-5,759,864-947-9787,https://www.anderson1.org/Domain/488,Jason Lesley,,,46
2022,"Anderson
School District
One",Palmetto Middle School,401012,M,140 Middle School Rd,Williamston,SC,29697,6-8,819,864-847-4333,https://www.anderson1.org/Domain/698,Jason McCauley,,,57
2022,"Anderson
School District
One",Wren Elementary School,401013,E,226 Roper Road,Piedmont,SC,29673,PK-5,605,864-850-5950,https://www.anderson1.org/domain/624,Tommy Bolger,,,37
2022,"Anderson
School District
One",Hunt Meadows Elementary,401014,E,420 Hunt Rd.,Easley,SC,29642,PK-5,544,864-850-3987,https://www.anderson1.org/Domain/262,Carrie Pennington,,,37
2022,"Anderson
School District
One",Powdersville Middle School,401061,M,130 Roe Road,"Greenville,",SC,29611,6-8,726,8642691821,https://www.anderson1.org/Domain/793,Todd Binnicker,,,53
2022,"Anderson
School District
One",Powdersville Elementary,401062,E,139 Hood Road,Greenville,SC,29611,3-5,719,864-269-4431,www.anderson1.org/pves,Brad Moore,,,45
2022,"Anderson
School District
One",Anderson School District One,401999,D,801 N Hamilton St,Williamston,SC,29697,PK-12,10593,864-847-7344,https://www.anderson1.org,Robbie Binnicker,"Robbie
Binnicker","Nancy
Upton",657
2022,"Anderson
School District
Two",Belton-Honea Path High School,402012,H,"11000 Belton Honea Path
Highway",Honea Path,SC,29654,9-12,1059,8653697382,https://bhp.anderson2.org/o/bhp,Mary Boarts,,,58
2022,"Anderson
School District
Two",Belton Elementary School,402013,E,202 Watkins St,Belton,SC,29627,3-5,374,8643387738,https://bes.anderson2.org/,Tracy S. Hedrick,,,25
2022,"Anderson
School District
Two",Belton Middle School,402014,M,102 Cherokee Rd,Belton,SC,29627,6-8,519,8643694712,https://andersoncountysdsc.sites.thrillshare.com/o/bms,Katie D. King,,,36
2022,"Anderson
School District
Two",Marshall Primary School,402015,P,"218 Bannister Street
",Belton,SC,29627,PK-2,423,8643694716,http://mps.anderson2.org,Shelly Blalock,,,30
2022,"Anderson
School District
Two",Honea Path Elementary,402018,E,806 E. Greer St.,Honea Path,SC,29654,PK-5,552,864-369-7612,https://hpe.anderson2.org/,Jeremy Sauceman,,,39
2022,"Anderson
School District
Two",Honea Path Middle School,402019,M,107 Brock Avenue,Honea Path,SC,29654,6-8,316,864-369-7641,hpms.anderson2.org,John Michael Hall,,,24
2022,"Anderson
School District
Two",Wright Elementary,402021,E,1136 Wright School Road,Belton,SC,29654,K-5,186,864-296-1776,wes.anderson2.org,Kim Whitt,,,11
2022,"Anderson
School District
Two",Anderson School District Two,402999,D,10990 Belton Honea Path Hwy,Honea Path,SC,29654,PK-12,3429,864 369-7364,wwww.anderson2.org,Jason B. Johns,Jason B. Johns,"Jimmy
Ouzts",224
2022,"Anderson
School District 3","Crescent High School
",403022,H,9104 Hwy 81 S,Iva,SC,29655,9-12,754,864-352-6175,acsd3.org/o/crescent-high-school,Mr. T. Cliff Roberts,,,46
2022,"Anderson
School District 3",Iva Elementary School,403024,E,803 Antreville Hwy,Iva,SC,29655,PK-5,380,864-348-6400,"https://www.anderson3.k12.sc.us/o/iva-elementary
-school",Austin Powell,,,30
2022,"Anderson
School District 3",Starr-Iva Middle School,403025,M,1034 Rainey Road,Starr,SC,29684,6-8,636,864-352-6146,https://www.acsd3.org/o/starr-iva-middle-school,Adam Coats,,,44
2022,"Anderson
School District 3",Starr Elementary,403026,E,400 Professor Brown Lane,Starr,SC,29684,PK-5,504,864-352-6154,https://www.acsd3.org/o/starr-elementary-school,Melissa Davis,,,33
2022,"Anderson
School District 3",Flat Rock Elementary School,403027,E,115 Thompson Road,Anderson,SC,29624,PK-5,380,864-296-9191,https://www.acsd3.org/o/flat-rock-elementary-school,Christy Horton Dodd,,,27
2022,"Anderson
School District 3",Anderson School District 3,403999,D,"335 W. Front St.
PO Box 118",Iva,SC,29655,PK-12,2654,864-348-6196,acsd3.org,Kathy D. Hipp,Kathy D. Hipp,"Tripp
Bouknight",180
2022,"Anderson
District 4",Pendleton High School,404027,H,7324 Hwy 187,Anderson,SC,29625,9-12,860,864-403-2100,htts://phs.anderson4.org,Brian Couch,,,53
2022,"Anderson
District 4",Riverside Middle School,404029,M,458 Riverside Street,Pendleton,SC,29670,7-8,463,8644032200,https://rms.anderson4.org/en-US,Jeffrey T Boozer,,,32
2022,"Anderson
District 4",La France Elementary,404031,E,"550 Williams Street Pendleton, SC
29670",PO Box 487,SC,29656,PK-6,410,864-403-2300,les.anderson4.org,Melida Reeves,,,29
2022,"Anderson
District 4",Pendleton Elementary,404034,E,902 East Queen Street,Pendleton,SC,29670,PK-6,406,864-403-2500,www.pes.anderson4.org,Jeffrey Simpson,,,31
2022,"Anderson
District 4",Townville Elementary,404036,E,"105 Townville School Road, PO
Box 10",Townville,SC,29689,PK-6,275,864-403-2600,https://tes.anderson4.org/,Denise B. Fredericks,,,20
2022,"Anderson
District 4",Mount Lebanon Elementary School,404037,E,2850 Lebanon Road,Pendleton,SC,29670,PK-6,479,864-403-2400,https://mles.anderson4.org/,Elliott Southard,,,30
2022,"Anderson
District 4",Anderson District 4,404999,D,315 East Queen Street,Pendleton,SC,29670,PK-12,2893,864-403-2000,www.anderson4.org,Mr. Dee Christopher,"Mr. Dee
Christopher","Dr. Tom
Dobbins",194
2022,"Anderson
School District
Five",T. L. Hanna High,405038,H,2600 N Highway 81,Anderson,SC,29621,9-12,1892,8642605110,https://www.anderson5.net/Domain/25,Walter A. Mayfield,,,99
2022,"Anderson
School District
Five",Mccants Middle School,405040,M,2325 Marchbanks Avenue,Anderson,SC,29621,6-8,584,864-260-5145,anderson5.net/mccants,Kelly P. Elrod,,,44
2022,"Anderson
School District
Five",Centerville Elementary School,405044,E,1529 Whitehall Road,Anderson,SC,29625,K-5,633,864-260-5100,https://www.anderson5.net/Domain/9,Jenifer Seymour,,,41
2022,"Anderson
School District
Five",Concord Elementary School,405045,E,2701 Calrossie Rd,Anderson,SC,29621,PK-5,579,864-260-5105,"https://www.anderson5.net/concord
",Tonna M Marroni,,,38
2022,"Anderson
School District
Five",Homeland Park Primary School,405047,P,3519 Wilmont Street,Anderson,SC,29624,PK-2,399,864-260-5125,anderson5.net/homelandpark,Elizabeth Bowen,,,26
2022,"Anderson
School District
Five",Westside High School,405048,H,806 Pearman Dairy Rd,Anderson,SC,29625,9-12,1729,864-260-5230,https://www.anderson5.net/westside,Kory Roberts,,,88
2022,"Anderson
School District
Five",Nevitt Forest Elementary School,405050,E,1401 Bolt Drive,Anderson,SC,29621,K-5,503,864-260-5190,https://www.anderson5.net/nevittforest,Angela Rardon,,,34
2022,"Anderson
School District
Five",New Prospect Elementary School,405051,E,"126 NEW PROSPECT CHURCH
RD",ANDERSON,SC,29625,K-5,451,864-260-5195,https://www.anderson5.net/newprospect,Brian Williams,,,32
2022,"Anderson
School District
Five",Varennes Elementary School,405055,E,1820 Highway 29 South,Anderson,SC,29626,3-5,351,864-260-5215,https://www.anderson5.net/varennes,Danessa Barr,,,25
2022,"Anderson
School District
Five",Whitehall Elementary School,405059,E,702 Whitehall Rd.,Anderson,SC,29626,PK-5,518,8642605255,https://www.anderson5.net/whitehall,Jennifer Bufford,,,36
2022,"Anderson
School District
Five",Calhoun Academy Of The Arts,405060,E,1520 E. Calhoun Street,Anderson,SC,29621,K-5,488,864-260-5090,https://www.anderson5.net/Domain/8,Ann D. Self,,,36
2022,"Anderson
School District
Five",Midway Elementary School,405061,E,"1221 Harriet Circle
",Anderson,SC,29621,K-5,727,864-716-3800,https://www.anderson5.net/Domain/13,Brandon Meares,,,45
2022,"Anderson
School District
Five",Mclees Elementary,405062,E,4900 Dobbins Bridge Road,Anderson,SC,29626,K-5,577,8647163600,www.anderson5.net/Domain/12,Janet T Mills,,,42
2022,"Anderson
School District
Five",Robert Anderson Middle School,405063,M,2302 Dobbins Bridge Road,Anderson,SC,29625,6-8,1243,864-716-3890,https://www.anderson5.net/robertanderson,Curtis Smith,,,90
2022,"Anderson
School District
Five",Glenview Middle School,405064,M,2575 Old Willamston Road,Anderson,SC,29621,6-8,732,8647164060,https://www.anderson5.net/glenview,Leonard Galloway,,,49
2022,"Anderson
School District
Five",Southwood Academy Of The Arts,405065,M,1110 Southwood St,Anderson,SC,29621,6-8,380,864-260-5205,https://www.anderson5.net/Domain/23,James A. Smith,,,31
2022,"Anderson
School District
Five",North Pointe Elementary School,405066,E,3325 Highway 81 North,Anderson,SC,29621,PK-5,519,864-260-5040,www.anderson5.net/northpointe,Jill S. Brackett,,,37
2022,"Anderson
School District
Five",Anderson Five Charter School,405601,H,1225 South McDuffie Street,Anderson,SC,29624,9-12,65,864-260-5160,https://www.anderson5.net/Domain/4026,Katie Brown,,,17
2022,"Anderson
School District
Five",Anderson School District Five,405999,D,400 Pearman Dairy Rd,Anderson,SC,29625,PK-12,12686,864-260-5000,www.anderson5.net,Thomas A. Wilson,"Thomas A.
Wilson","Rick
Bradshaw",827
2022,"Bamberg
School District 1",Bamberg-Ehrhardt High School,501001,H,267 Red Raider Drive,Bamberg,SC,29003,9-12,348,803-245-3030,https://behs.bamberg1.net/,"Dennis Randall Ulmer
Jr.",,,27
2022,"Bamberg
School District 1",Bamberg-Ehrhardt Middle,501002,M,897 North Street,Bamberg,SC,29003,7-8,184,803-245-3058,https://bems.bamberg1.com/,Denise L. Miller,,,14
2022,"Bamberg
School District 1",Richard Carroll Elementary School,501006,E,1980 Main Highway,Bamberg,SC,29003,PK-6,636,803-245-3043,rces.bamberg1.net,Chastity Evans,,,42
2022,"Bamberg
School District 1",Bamberg School District 1,501999,D,62 Holly Ave,Denmark,SC,29042,PK-12,1168,803-793-3346,https://www.bamberg1.net/,Dr. Dottie Brown,"Dr. Dottie
Brown","Mrs. Janeth
Walker",83
2022,"Bamberg
School District 2",Denmark-Olar High School,502007,H,197 Viking Circle,Denmark,SC,29042,9-12,189,803-793-3307,www.dohs.bamberg2.org,Dr. Deonia A. Simmons,,,17
2022,"Bamberg
School District 2",Denmark-Olar Middle School,502008,M,Church St.,197 Viking Circle,SC,29042,6-8,135,803-793-3383,www.doms.bamberg2.org,Dr. Deonia A. Simmons,,,9
2022,"Bamberg
School District 2",Denmark-Olar Elementary School,502010,E,1437 Church St.,Denmark,SC,29042,PK-5,302,803-793-3112,does.bambergschools.org,Dr. Rhonda Ray,,,21
2022,"Bamberg
School District 2",Bamberg School District 2,502999,D,62 Holly Ave,Denmark,SC,29042,PK-12,626,803-793-3346,https://www.bamberg2.org/,Dr. Dottie Brown,"Dr. Dottie
Brown","Mrs.
Beverly
Bonaparte",47
2022,"Barnwell School
District 19",Blackville Hilda High School,619001,H,76 Atkins Circle,Blackville,SC,29817,9-12,161,8032845700,bhhs@bccsd.net,Christina Snider,,,11
2022,"Barnwell School
District 19",Macedonia Elementary-Middle School,619003,E,556 Jones Bridge Rd.,Blackville,SC,29817,PK-8,358,803-2845800,www.barnwell19.k12.sc.us/Home1,Eryl M. Smalls,,,25
2022,"Barnwell School
District 19",Macedonia Elementary-Middle School,619003,M,556 Jones Bridge Rd.,Blackville,SC,29817,PK-8,358,803-2845800,www.barnwell19.k12.sc.us/Home1,Eryl M. Smalls,,,25
2022,"Barnwell School
District 19",Barnwell School District 19,619999,D,446 Country Club Road,Blackville,SC,29817,PK-12,519,803-284-5608,www.barnwell19.k12.sc.us,David W. Corder,"David W.
Corder","Karen
Jowers",36
2022,"Williston School
District",Williston-Elko High School,629006,H,12233 Main Street,Williston,SC,29853,9-12,223,803-266-1330,"
https://www.williston.k12.sc.us
",John Bradley,,,16
2022,"Williston School
District",Kelly Edwards Elementary School,629007,E,1071 Elko Street,Williston,SC,29853,PK-5,341,803-266-3737,https://elementary.williston.k12.sc.us/,Monique Jones Smalls,,,26
2022,"Williston School
District",Williston Elko Middle School,629008,M,12333 E Main Street,Williston,SC,29853,6-8,168,8032663430,https://middle.williston.k12.sc.us/,Austrai Bradley,,,17
2022,"Williston School
District",Williston School District,629999,D,12255 Main Street,Williston,SC,29853,PK-12,732,8032667878,www.williston.k12.sc.us,Dr. Marcella Shaw,"Dr. Marcella
Shaw","Annette
Burnette",59
2022,"Barnwell School
District 45",Barnwell High School,645009,H,474 Jackson Street,Barnwell,SC,29812,9-12,556,8035411390,https://bhs.bsd45.net/,Franklin McCormack,,,38
2022,"Barnwell School
District 45",Guinyard-Butler Middle School,645010,M,779 Allen Street,Barnwell,SC,29812,7-8,335,803-541-1370,https://barnwell-gbms.weebly.com/contact.html,"Denise W. James,
Interim Principal",,,17
2022,"Barnwell School
District 45",Barnwell Primary,645011,P,9286 Marlboro Avenue,Barnwell,SC,29812,PK-3,656,803-541-1320,https://bpsbsd45.weebly.com/,Donna Selvey,,,49
2022,"Barnwell School
District 45",Barnwell Elementary School,645012,E,10524 Marlboro Avenue,Barnwell,SC,29812,4-6,435,803-541-1285,www.barnwellelementary.net,Ms. Kay M. Gooding,,,28
2022,"Barnwell School
District 45",Barnwell School District 45,645999,D,770 Hagood Avenue,Barnwell,SC,29812,PK-12,1982,803-541-1300,https://www.barnwell45.org/,Crystal Stapleton,"Crystal
Stapleton","Rosey
Anderson",132
2022,"Beaufort County
School District",Lady's Island Middle School,701001,M,30 Cougar Dr.,Beaufort,SC,29907,6-8,480,843-322-3100,https://lims.beaufortschools.net/,Dr. Chavon Browne,,,39
2022,"Beaufort County
School District",Beaufort High School,701002,H,84 Sea Island Parkway,Beaufort,SC,29907,9-12,1174,843-322-2000,https://bhs.beaufortschools.net/,Charity B. Summers,,,77
2022,"Beaufort County
School District",Hilton Head Island High School,701003,H,70 Wilborn Road,Hilton Head Island,SC,29926,9-12,1343,843-689-4800,https://hhihs.beaufortschools.net/,Steven P. Schidrich,,,89
2022,"Beaufort County
School District","Battery Creek High School, Beaufort
County School District",701004,H,"1 Blue Dolphin Drive
--",Beaufort,SC,29906,9-12,786,843-322-5500,https://bchs.beaufortschools.net/,Denise Lessard,,,60
2022,"Beaufort County
School District",Beaufort Elementary School,701008,E,1800 Prince Street,Beaufort,SC,29902,PK-5,327,843-322-2600,https://bes.beaufortschools.net/,Michelle Sackman,,,45
2022,"Beaufort County
School District",Hilton Head Island Middle School,701009,M,55 Wilborn Rd.,Hilton Head Island,SC,29926,6-8,828,843-689-4500,https://hhims.beaufortschools.net/,Tanja Wheeler,,,65
2022,"Beaufort County
School District",Broad River Elementary School,701010,E,474 Broad River Blvd,Beaufort,SC,29906,PK-5,450,8433228400,https://bres.beaufortschools.net/,"Constance
Goodwine-Lewis",,,44
2022,"Beaufort County
School District",Lady’s Island Elementary School,701014,E,73 Chowan Creek Bluff,Beaufort,SC,29907,PK-5,208,843-322-2240,https://lies.beaufortschools.net/,Davina Coleman,,,24
