ReportCardYear,DistrictNm,SchoolNm,SCHOOLID,SCHOOLTYPECD,street,city,state,zip,GRADESPAN,Enrollment,hdphone,URL,headname,supername,chair,TeacherCount
2023,"Aiken County
Public School
District",South Aiken High School,201003,H,"232 East Pine Log
Road",Aiken,SC,29803,9-12,1356,803-641-2600,https://www.acpsd.net/SAHS,Samuel A. Fuller,,,70
2023,"Aiken County
Public School
District",Jefferson Elementary,201005,E,170 Flint Drive,Warrenville,SC,29851,PK-5,557,803-593-7180,www.acpsd.net/JES,John Metts,,,33
2023,"Aiken County
Public School
District",Midland Valley High School,201006,H,227 Mustang Drive,Graniteville,SC,29829,9-12,1477,803-593-7100,https://www.acpsd.net/Domain/21,Sheldon Higgenbottom,,,78
2023,"Aiken County
Public School
District",Paul Knox Middle School,201007,M,1804 Wells Road,North Augusta,SC,29841,6-8,683,803-442-6300,https://www.acpsd.net/PKMS,Casey Rogers,,,35
2023,"Aiken County
Public School
District",Langley Bath Clearwater,201008,M,29 Lions Trail,Warrenville,SC,29851,6-8,634,803-593-7260,https://www.acpsd.net/Domain/12,Dr. Brice Laughter,,,34
2023,"Aiken County
Public School
District","Leavelle Mccampbell
Middle School",201009,M,1120 Weldon Way,Graniteville,SC,29829,6-8,650,803-663-4300,www.acpsd.net/LMMS,Dr. Tiffany Turner Hall,,,29
2023,"Aiken County
Public School
District","New Ellenton Middle Steam
Magnet School",201010,M,"814 Main Street,
South",New Ellenton,SC,29809,6-8,285,803-652-8200,www.acpsd.net/NEMS,Shunte Dugar,,,21
2023,"Aiken County
Public School
District","North Augusta Middle
School",201011,M,"725 Old Edgefield
Road",North Augusta,SC,29841,6-8,616,803-442-6200,https://www.acpsd.net/NAMS,Kimbra Meek,,,26
2023,"Aiken County
Public School
District",North Augusta High School,201012,H,"2000 Knobcone
Ave",North Augusta,SC,29841,9-12,1719,803-442-6100,https://www.acpsd.net/Domain/23,John Murphy,,,85
2023,"Aiken County
Public School
District","Wagener-Salley High
School",201015,H,272 Main St South,Wagener,SC,29164,9-12,265,8035641100,https://www.acpsd.net/Domain/24,"Rasheem L. Neloms
Sr.",,,20
2023,"Aiken County
Public School
District",Aiken Elementary School,201016,E,2050 Pine Long,Aiken,SC,29803,PK-5,524,803-641-2740,https://www.acpsd.net/AES,Kristie Brooks (Interim),,,36
2023,"Aiken County
Public School
District",Kennedy Middle School,201017,M,"274 E. Pine Log
Road",Aiken,SC,29803,6-8,643,803-641-2470,www.acpsd.net/kms,Ryan Ashley,,,32
2023,"Aiken County
Public School
District","Belvedere Elementary
School",201019,E,"115 Monterey
Avenue",Belvedere,SC,29841,PK-5,625,803-442-6330,https://www.acpsd.net/BES,Allyson Long,,,42
2023,"Aiken County
Public School
District",Byrd Elementary,201021,E,1225 Weldon Way,Graniteville,SC,29841,PK-5,657,803-663-4320,https://www.acpsd.net/BYES,Renae Enlow,,,42
2023,"Aiken County
Public School
District",J. D. Lever Elementary,201022,E,"2404 Columbia
Hwy N",Aiken,SC,29803,PK-5,505,8036412760,www.acpsd.net/JDLES,Michael Truitt,,,30
2023,"Aiken County
Public School
District","Clearwater Elementary
School",201024,E,4552 Augusta Road,Beech Island,SC,29842,PK-5,370,803-593-7240,https://www.acpsd.net/CES,Leslie Lowe,,,28
2023,"Aiken County
Public School
District","East Aiken School Of The
Arts",201027,E,"223 Old Wagener
Road",Aiken,SC,29801,PK-5,539,803-641-2450,https://www.acpsd.net/Domain/31,Lisa A. Fallaw,,,37
2023,"Aiken County
Public School
District",Schofield Middle School,201028,M,"224 Kershaw Street
NE",Aiken,SC,29801,7-8,401,803-641-2770,www.acpsd.net/sms,Sidney Johnson,,,23
2023,"Aiken County
Public School
District","Gloverville Elementary
School",201029,E,"114 Gloria Rush
Circle",Gloverville,SC,29828,PK-5,318,803-593-7280,https://www.acpsd.net/Domain/32,Nathan Lobaugh,,,22
2023,"Aiken County
Public School
District",Greendale Elementary,201030,E,"505 South
Boundary Ave",New Ellenton,SC,29809,PK-5,303,8036528170,https://www.acpsd.net/GRES,Caroline Barker,,,26
2023,"Aiken County
Public School
District","Hammond Hill Elementary
School",201031,E,"901 West
Woodlawn Avenue",North Augusta,SC,29841,PK-5,677,803-442-6170,acpsd.net/HHES,Selecia Hardy,,,41
2023,"Aiken County
Public School
District","Jackson Stem Magnet
Middle School",201033,M,18731 Atomic Road,Jackson,SC,29831,6-8,373,803-471-2237,https://www.acpsd.net/JMS,Carla Dupert,,,21
2023,"Aiken County
Public School
District",Millbrook Elementary,201035,E,"255 East Pine Log
Road",Aiken,SC,37803,PK-5,661,803-641-2580,https://www.acpsd.net/MES,Roger Ward,,,43
2023,"Aiken County
Public School
District","North Aiken Elementary
School",201038,E,"100 Bears Rock
Road",Aiken,SC,29801,PK-5,466,803-641-2690,https:,Elisa Sanders-Pee,,,34
2023,"Aiken County
Public School
District","North Augusta Elementary
School",201039,E,"400 East Spring
Grove Avenue",North Augusta,SC,29841,PK-5,690,803-442-6280,https://www.acpsd.net/NAUES,Patricia Wilson,,,41
2023,"Aiken County
Public School
District",Cyril B Busbee Elementary,201051,E,"20 AL Corbett
Circle",Wagener,SC,29164,PK-5,472,8035641000,https://www.acpsd.net/BUSBEE,Jeffery A Matthews,,,31
2023,"Aiken County
Public School
District",Warrenville Elementary,201052,E,"569 Howlandville
Road",Warrenville,SC,29851,PK-5,389,803-663-4270,https://www.acpsd.net/WES,Charlene Heard,,,28
2023,"Aiken County
Public School
District","Oakwood-Windsor
Elementary",201054,E,"3773 Charleston
Highway",Aiken,SC,29801,PK-5,431,803-641-2560,https://www.acpsd.net/OWES,Davina Truitt,,,33
2023,"Aiken County
Public School
District","Redcliffe Elementary
School",201055,E,"22 Double Springs
Road",Aiken,SC,29803,PK-5,631,803-827-3350,https://www.acpsd.net/RES,Kimmerie Allen,,,40
2023,"Aiken County
Public School
District",Chukker Creek Elementary,201056,E,"1830 Chukker
Creek Rd",Aiken,SC,29803,PK-5,664,803-641-2474,https://www.acpsd.net/Domain/29,Sara-Beth Brown,,,36
2023,"Aiken County
Public School
District",Mossy Creek Elementary,201058,E,"421 W Five Notch
Rd",North Augusta,SC,29841,PK-5,642,803-442-6090,https://www.acpsd.net/MCES,Lindsey Hager,,,38
2023,"Aiken County
Public School
District","Ridge Spring-Monetta
Elementary School",201059,E,1081 Trojan Rd,Monetta,SC,29105,PK-5,353,803-685-2000,https://www.acpsd.net/Domain/43,Callie A. Herlong,,,26
2023,"Aiken County
Public School
District",Aiken Scholars Academy,201061,H,"471 University
Parkway",Aiken,SC,29802,9-12,182,803-306-1400,https://www.acpsd.net/Page/83,Martha Messick,,,6
2023,"Aiken County
Public School
District",A. L. Corbett Middle,201063,M,"10 A. L. Corbett
Circle",Wagener,SC,29164,6-8,208,8035641050,https://www.acpsd.net/CORBETT,Michelle B. Kennedy,,,11
2023,"Aiken County
Public School
District",Graniteville Elementary,201066,E,1 Willis Circle,Graniteville,SC,29829,PK-5,377,803-663-9998,www.acpsd.net/GVES,Michelle Padgett,,,26
2023,"Aiken County
Public School
District",Aiken Intermediate School,201067,M,687 Explorer Trail,Aiken,SC,29801,6,466,(803)641-2570,https://www.acpsd.net/Domain/10,Eileen Denise McCray,,,26
2023,"Aiken County
Public School
District","Ridge Spring-Monetta
Middle/High",201068,H,1071 Trojan Rd.,Monetta,SC,29105,6-12,469,8036468808,https://www.acpsd.net/Domain/17,Dr. KaRon Webb,,,33
2023,"Aiken County
Public School
District","Ridge Spring-Monetta
Middle/High",201068,M,1071 Trojan Rd.,Monetta,SC,29105,6-12,469,8036468808,https://www.acpsd.net/Domain/17,Dr. KaRon Webb,,,33
2023,"Aiken County
Public School
District","Aiken County Public School
District",201999,D,"1000 Brookhaven
Drive","Aiken, SC",SC,29803,PK-12,23181,803-641-2428,https://www.acpsd.net/,Mr. King Laurence,"Mr. King
Laurence","Mr.
Cameron
Nuessle",1437
2023,"Allendale
County
Schools","Allendale-Fairfax High
School",301001,H,"3581
Allendale-Fairfax
Hwy.",Fairfax,SC,29827,9-12,311,803-584-2311,https://afhs.acs.k12.sc.us/o/afhs,Darlene D. Hall,,,21
2023,"Allendale
County
Schools",Allendale Elem,301004,E,"3305
Allendale-Fairfax
Hwy",Fairfax,SC,29827,PK-5,451,803-584-3476,ales.acs.k12.sc.us,Sheila Leath,,,36
2023,"Allendale
County
Schools","Allendale-Fairfax Middle
School",301008,M,"3581
Allendale-Fairfax
Highway",Fairfax,SC,29827,6-8,212,803-584-3489,https://afms.acs.k12.sc.us/o/afms,Dr. Willie Robinson,,,17
2023,"Allendale
County
Schools",Allendale County Schools,301999,D,"3249
Allendale-Fairfax
Hwy",Fairfax,SC,29827,PK-12,974,8035844603,,Dr. Margaret Gilmore,"Dr. Margaret
Gilmore","Catherine
Russell",74
2023,"Anderson
School District
One",Palmetto High School,401001,H,804 N. Hamilon St,Williamston,SC,29697,9-12,1021,864-847-7311,https://www.anderson1.org/o/plh,Robert Roach,,,54
2023,"Anderson
School District
One",Powdersville High School,401002,H,145 Hood Rd.,Greenville,SC,29611,9-12,999,864-312-5641,https://www.anderson1.org/o/ph,Adam Lanford,,,48
2023,"Anderson
School District
One",Wren High School,401003,H,"905 Wren School
Rd.",Piedmont,SC,29673,9-12,1202,864-850-5900,https://www.anderson1.org/o/wh,Dr. Kyle Whitfield,,,62
2023,"Anderson
School District
One",Palmetto Elementary,401004,E,,,,0,PK-5,565,,,,,,40
2023,"Anderson
School District
One","Cedar Grove Elementary
School",401005,E,107 Melvin Lane,Williamston,SC,29697,PK-5,602,[864-847-3500],https://www.anderson1.org/o/cge,Kristie Finley,,,40
2023,"Anderson
School District
One",Concrete Primary School,401006,P,"535 Powdersville
Main",Easley,SC,29642,PK-2,843,864-269-4571,https://www.anderson1.org/o/cp,Sherry Padgett,,,44
2023,"Anderson
School District
One",Wren Middle School,401008,M,"1010 Wren School
Road",Piedmont,SC,29673,6-8,973,864-850-5930,https://www.anderson1.org/o/wm,Jon Shoffstall,,,56
2023,"Anderson
School District
One","West Pelzer Elementary
School",401009,E,"110 West Stewart
Street",Pelzer,SC,29669,PK-5,362,864-947-6424,https://www.anderson1.org/o/wpe,Amy Bagwell,,,31
2023,"Anderson
School District
One",Spearman Elementary,401011,E,2001 Easley Hwy,Piedmont,SC,29673,PK-5,801,8649479787,https://www.anderson1.org/o/se,Jason Lesley,,,46
2023,"Anderson
School District
One",Palmetto Middle School,401012,M,"140 Middle School
Rd",Williamston,SC,29697,6-8,774,8648474333,https://www.anderson1.org/o/pm,Jason McCauley,,,54
2023,"Anderson
School District
One",Wren Elementary School,401013,E,226 Roper Road,Piedmont,SC,29673,PK-5,616,864-850-5950,https://www.anderson1.org/o/we,Delaney Sutton,,,33
2023,"Anderson
School District
One","Hunt Meadows Elementary
School",401014,E,,,SC,0,PK-5,574,,,Carrie Pennington,,,38
2023,"Anderson
School District
One",Powdersville Middle,401061,M,,,,0,6-8,756,,,,,,52
2023,"Anderson
School District
One","Powdersville Elementary
School",401062,E,139 Hood Road,Greenville,SC,29611,3-5,751,864-269-4431,https://www.anderson1.org/o/pves,Melissa Tollison,,,46
2023,"Anderson
School District
One","Anderson School District
One",401999,D,"801 N. Hamilton
Street",Williamston,SC,29697,PK-12,10839,(864) 847-7344,https://www.anderson1.org/,G. Robert Binnicker,"G. Robert
Binnicker","Mrs.
Nancy
Upton",644
2023,"Anderson
School District
Two","Belton-Honea Path High
School",402012,H,"11000 Belton
Honea Path
Highway",Honea Path,SC,29654,9-12,1097,864-369-7382,https://bhp.anderson2.org/,Mary Boarts,,,53
2023,"Anderson
School District
Two",Belton Elementary,402013,E,202 Watkins Street,Betlon,SC,29627,3-5,372,864-338-7738,https://bes.anderson2.org/,Tracy Hedrick,,,26
2023,"Anderson
School District
Two",Belton Middle School,402014,M,102 Cherokee Rd,Belton,SC,29627,6-8,495,864-369-4712,https://bms.anderson2.org/,Katie D. King,,,29
2023,"Anderson
School District
Two",Marshall Primary School,402015,P,"218 Bannister
Street",Belton,SC,29627,PK-2,452,864-369-4716,mps.anderson2.org,Shelly Blalock,,,27
2023,"Anderson
School District
Two",Honea Path Elementary,402018,E,806 E. Greer St.,Honea Path,SC,29654,PK-5,570,864-369-7612,https://hpe.anderson2.org/,Jeremy Sauceman,,,37
2023,"Anderson
School District
Two",Honea Path Middle School,402019,M,107 Brock Avenue,Honea Path,SC,29654,6-8,315,864-369-7641,hpms.anderson2.org,John Michael Hall,,,22
2023,"Anderson
School District
Two",Wright Elementary,402021,E,"1136 Wright School
Road",Belton,SC,29627,K-5,193,864-296-1776,wes.anderson2.org,Kim Whitt,,,12
2023,"Anderson
School District
Two","Anderson School District
Two",402999,D,"10990 Belton
Honea Path Hwy",Honea Path,SC,29624,PK-12,3494,864 369-7364,https://www.anderson2.org/,Jason B. Johns,"Jason B.
Johns","Jimmy
Ouzts",206
2023,Anderson 3,Crescent High School,403022,H,9104 Hwy 81 South,Iva,SC,29684,9-12,796,864-352-6175,https://www.acsd3.org/o/crescent-high-school,T. Cliff Roberts,,,43
2023,Anderson 3,Iva Elementary School,403024,E,803 Antreville Hwy,Iva,SC,29655,PK-5,383,864-348-6400,"https://www.anderson3.k12.sc.us/o/iva-elementary
-school",Austin Powell,,,30
2023,Anderson 3,Starr-Iva Middle School,403025,M,1034 Rainey Rd,Starr,SC,29684,6-8,658,864-352-6146,https://www.acsd3.org/o/starr-iva-middle-school,Adam Coats,,,38
2023,Anderson 3,Starr Elementary,403026,E,"400 Professor
Brown Lane",Starr,SC,29684,PK-5,490,864-352-6154,https://www.acsd3.org/o/starr-elementary-school,Melissa M. Davis,,,34
2023,Anderson 3,"Flat Rock Elementary
School",403027,E,"115 Thompson
Road",Anderson,SC,29624,PK-5,410,864-296-9191,https://www.acsd3.org/o/flat-rock-elementary-school,Christy Dodd,,,26
2023,Anderson 3,Anderson 3,403999,D,,,,,PK-12,2737,,,,,,172
2023,"Anderson
District 4",Pendleton High School,404027,H,7324 Hwy 187,ANDERSON,SC,29625,9-12,880,8644032100,htts://phs.anderson4.org,Brian Couch,,,51
2023,"Anderson
District 4",Riverside Middle School,404029,M,"458 Riverside
Street",Pendleton,SC,29670,7-8,426,864-403-2200,https://rms.anderson4.org,Dr. Jennifer Roach,,,32
2023,"Anderson
District 4","La France Elementary
School",404031,E,"550 Williams
Street
La France
Elementary School",Pendleton,SC,29670,PK-6,426,8644032300,les.anderson4.org,Melida Reeves,,,29
2023,"Anderson
District 4",Pendleton Elementary,404034,E,"902 East Queen
Street",Pendleton,SC,29670,PK-6,479,864-403-2500,www.pes.anderson4.org,Jeffrey Simpson,,,31
2023,"Anderson
District 4","Townville Elementary
School",404036,E,"105 Townville
School Road, PO
Box 10",Townville,SC,29689,PK-6,281,864-403-2600,https://tes.anderson4.org/en-US,Denise B. Fredericks,,,20
2023,"Anderson
District 4","Mount Lebanon Elementary
School",404037,E,"2850 Lebanon
Road",Pendleton,SC,29670,PK-6,513,864-403-2400,mles.anderson4.org,Elliott Southard,,,32
2023,"Anderson
District 4",Anderson District 4,404999,D,"315 East Queen
Street",Pendleton,SC,29670,PK-12,3005,864-403-2000,https://www.anderson4.org/,Dee Christopher,"Dee
Christopher","Dr. Tom
Dobbins",195
2023,"Anderson
School District
Five",T. L. Hanna High,405038,H,2600 N Highway 81,Anderson,SC,29621,9-12,1910,8642605110,https://tlhanna.anderson5.net/,Walter A. Mayfield,,,99
2023,"Anderson
School District
Five",Mccants Middle School,405040,M,"2123 Marchbanks
Avenue",Anderson,SC,29621,6-8,563,864-260-5145,www.anderson5.net,Stephanie Radford,,,41
2023,"Anderson
School District
Five","Centerville Elementary
School",405044,E,,,SC,0,PK-5,620,,,Jenifer Seymour,,,39
2023,"Anderson
School District
Five","Concord Elementary
School",405045,E,"2701 Calrossie
Road",Anderson,SC,29621,PK-5,596,864-260-5105,,Gary Bruhjell,,,34
2023,"Anderson
School District
Five",Homeland Park Primary,405047,P,"3519 Wilmont
Street",Anderson,SC,29624,PK-2,427,864-260-5125,https://www.anderson5.net/homelandpark,Elizabeth Bowen,,,25
2023,"Anderson
School District
Five",Westside High School,405048,H,"806 Pearman Dairy
Road",Anderson,SC,29625,9-12,1769,864-260-5230,https://www.anderson5.net/westside,Kory Roberts,,,83
2023,"Anderson
School District
Five","Nevitt Forest Elementary
School",405050,E,1401 Bolt Drive,Anderson,SC,29621,PK-5,577,864-260-5190,https://www.anderson5.net/nevittforest,Angela Rardon,,,33
2023,"Anderson
School District
Five","New Prospect Elementary
School",405051,E,,,SC,0,PK-5,464,,,Brian Williams,,,30
2023,"Anderson
School District
Five","Varennes Elementary
School",405055,E,"1820 U.S. 29
Business",Anderson,SC,29626,3-5,370,864-260-5215,https://www.anderson5.net/varennes,Mrs. Danessa Barr,,,24
2023,"Anderson
School District
Five","Whitehall Elementary
School",405059,E,702 Whitehall Rd.,Anderson,SC,29625,PK-5,534,8642605255,www.anderson5.net/whitehall,Jennifer Bufford,,,33
2023,"Anderson
School District
Five","Calhoun Academy Of The
Arts",405060,E,"1520 E. Calhoun
St.",Anderson,SC,29621,PK-5,473,864-260-5090,https://www.anderson5.net/calhoun,Tonna Marroni,,,32
2023,"Anderson
School District
Five",Midway Elementary School,405061,E,1221 Harriet Circle,Anderson,SC,29621,PK-5,699,864-716-3800,https://www.anderson5.net/Domain/13,Brandon Meares,,,42
2023,"Anderson
School District
Five",Mclees Elementary School,405062,E,"4900 Dobbins
Bridge Road",Anderson,SC,29626,PK-5,592,8647163600,www.anderson5.net/Domain/12,Janet T Mills,,,38
2023,"Anderson
School District
Five","Robert Anderson Middle
School",405063,M,"2302 Dobbins
Bridge Rd.",Anderson,SC,29626,6-8,1131,864-716-3890,https://www.anderson5.net/robertanderson,Curtis Smith,,,82
2023,"Anderson
School District
Five",Glenview Middle School,405064,M,"2575 Old
Williamston Road",Anderson,SC,29621,6-8,733,864-716-4060,https://www.anderson5.net/glenview,Leonard Galloway,,,44
2023,"Anderson
School District
Five","Southwood Academy Of
The Arts",405065,M,"1110 Southwood
St.",Anderson,SC,29624,6-8,394,864-260-5205,https://www.anderson5.net/Domain/23,James A. Smith,,,29
2023,"Anderson
School District
Five","North Pointe Elementary
School",405066,E,3325 Highway 81N,Anderson,SC,29621,PK-5,492,(864) 260-5040,www.anderson5.net/northpointe,Jill Brackett,,,34
2023,"Anderson
School District
Five","Anderson Five Charter
School",405601,H,"1225 South
McDuffie Street",Anderson,SC,29624,9-12,72,864-260-5160,https://www.anderson5.net/Domain/4026,Katie Brown,,,15
2023,"Anderson
School District
Five","Anderson School District
Five",405999,D,"400 Pearman Dairy
Rd",Anderson,SC,29625,PK-12,12560,,,Thomas A. Wilson,"Thomas A.
Wilson","Mr.
Tommy
Price",786
2023,"Bamberg
County School
District","Bamberg Ehrhardt High
School",503001,H,"267 Red Raider
Drive",Bamberg,SC,29003,9-12,357,803-245-3030,https://behs.bambergschools.org/,Jordan D. Smith,,,21
2023,"Bamberg
County School
District","Bamberg-Ehrhardt Middle
School",503002,M,897 North Street,Bamberg,SC,29003,7-8,192,803-245-3058,bems.bambergschools.org,Denise L. Miller,,,14
2023,"Bamberg
County School
District","Richard Carroll Elementary
School",503006,E,1980 Main Hwy,Bamberg,SC,29003,PK-6,625,803-245-3043,https://rces.bambergschools.org/,Chastity Evans,,,47
2023,"Bamberg
County School
District",Denmark-Olar High School,503007,H,197 Viking Circle,Denmark,SC,29042,9-12,183,8037933307,www.dohs.bambergschools.org,"Dr. Deonia A.
Simmons",,,12
2023,"Bamberg
County School
District","Denmark-Olar Middle
School",503008,M,1437 Church Street,Denmark,SC,29042,6-8,148,803-793-3383,https://www.bambergschools.org,"Patricia
Moultrie-Goldsmith",,,11
2023,"Bamberg
County School
District","Denmark Olar Elementary
School",503010,E,1437 Church St.,Denmark,SC,29042,PK-5,268,803-793-3112,www.bambergschools.org,Dr. Rhonda Ray,,,19
2023,"Bamberg
County School
District","Bamberg County School
District",503999,D,62 S Holly Ave,Denmark,SC,29042,PK-12,1773,803-793-3346,https://www.bambergschools.org/,Dr. Dottie Brown,"Dr. Dottie
Brown","Mrs.
Janeth
Walker",117
2023,"Barnwell
School District
45",Barnwell High School,645009,H,474 Jackson Street,Barnwell,SC,29812,9-12,564,803-541-1390,https://www.bsd45.net/bhs,Franklin McCormack,,,30
2023,"Barnwell
School District
45","Guinyard-Butler Miiddle
School",645010,M,779 Allen Street,Barnwell,SC,29812,7-8,298,803-541-1370,https://bsd45.net/gbms,Henrietta Williams,,,16
2023,"Barnwell
School District
45",Barnwell Primary School,645011,P,9286 Marlboro Ave,Barnwell,SC,29812,PK-3,661,803-541-1320,https://www.bsd45.net/Page/15,Donna Selvey,,,49
2023,"Barnwell
School District
45","Barnwell Elementary
School",645012,E,"10524 Marlboro
Avenue",Barnwell,SC,29812,4-6,451,[803-541-1285],www.bsd45.net/bes,Kay M. Gooding,,,28
2023,"Barnwell
School District
45",Barnwell School District 45,645999,D,"770 Hagood
Avenue",Barnwell,SC,29812,PK-12,1974,"803-541-1300
",https://www.bsd45.net/,Crystal Stapleton,"Crystal
Stapleton","Rosey
Anderson",123
2023,Barnwell 48,"Blackville-Hilda High
School",648001,H,76 Atkins Circle,Blackville,SC,29817,9-12,154,803-284-5701,bhhs.bccsd.net,Christina Snider,,,14
2023,Barnwell 48,"Macedonia
Elementary-Middle School",648003,E,"556 Jones Bridge
Rd","Blackville, SC",SC,29817,PK-8,343,803-284-5801,www.mems.bccsd.net,Eryl M. Smalls,,,23
2023,Barnwell 48,"Macedonia
Elementary-Middle School",648003,M,"556 Jones Bridge
Rd","Blackville, SC",SC,29817,PK-8,343,803-284-5801,www.mems.bccsd.net,Eryl M. Smalls,,,23
2023,Barnwell 48,Williston-Elko High School,648006,H,12233 Main Street,Williston,SC,29853,9-12,218,803-266-3110,https://wehs.bccsd.net/,"Anthony A. Flowers, Jr.",,,16
2023,Barnwell 48,"Kelly Edwards Elementary
School",648007,E,1071 Elko Streeet,Williston,SC,29853,PK-5,310,803-266-3737,https://kees.bccsd.net/,Monique Smalls,,,24
2023,Barnwell 48,"Williston-Elko Middle
School",648008,M,"12333 E. Main
Street","Williston, SC",SC,29803,6-8,169,803-266-3430,https://wems.bccsd.net/,Dr. Austrai Bradley,,,14
2023,Barnwell 48,Barnwell 48,648999,D,,,,,PK-12,1194,,,,,,91
2023,"Beaufort
County School
District","Lady's Island Middle
School",701001,M,30 Cougar Drive,Lady's Island,SC,29907,6-8,434,843-322-3100,https://lims.beaufortschools.net/,Chavon Browne,,,32
2023,"Beaufort
County School
District",Beaufort High School,701002,H,"84 Sea Island
Parkway",Beaufort,SC,29907,9-12,1191,843-322-2000,https://bhs.beaufortschools.net/,Sonji Leach,,,70
2023,"Beaufort
County School
District","Hilton Head Island High
School",701003,H,70 Wilborn Road,Hilton Head Island,SC,29926,9-12,1345,843-689-4800,https://hhihs.beaufortschools.net/,Steven Schidrich,,,87
2023,"Beaufort
County School
District",Battery Creek High School,701004,H,"1 Blue Dolphin
Drive",Beaufort,SC,29906,9-12,788,843-322-5500,https://bchs.beaufortschools.net/,Denise Lessard,,,55
2023,"Beaufort
County School
District","Beaufort Elementary
School",701008,E,1800 Prince Street,Beaufort,SC,29902,PK-5,357,843-322-2600,bes.beaufortschools.net,Michelle Sackman,,,47
2023,"Beaufort
County School
District","Hilton Head Island Middle
School",701009,M,55 Wilborn Rd,Hilton Head,SC,29926,6-8,856,8436894500,https://hhims.beaufortschools.net/,Clint Austin,,,61
2023,"Beaufort
County School
District","Broad River Elementary
School",701010,E,"474 Broad River
Blvd",Beaufort,SC,29906,PK-5,455,843-322-8400,bre.beaufortschools.net,"Constance
Goodwine-Lewis",,,40
2023,"Beaufort
County School
District",Lady's Island Elementary,701014,E,"73 Chowan Creek
Bluff",Beaufort,SC,29902,PK-5,227,843-322-2240,lies.beaufortschools.net,Jason Osborne,,,27
2023,"Beaufort
County School
District",Mossy Oaks Elementary,701015,E,"2510 Mossy Oaks
Road",Beaufort,SC,29902,PK-5,352,843-322-2900,https://moes.beaufortschools.net/,Melissa M. Vogt,,,30
2023,"Beaufort
County School
District","Port Royal Elementary
School",701016,E,1214 Paris Avenue,Port Royal,SC,29935,PK-5,169,843-322-0820,https://pres.beaufortschools.net/,Vicki Goude,,,20
2023,"Beaufort
County School
District","Michael C. Riley
Elementary And Early
Childhood Center",701017,E,"200 Burnt Church
Road",Bluffton,SC,29910,PK-5,772,843-706-8300,https://mcres.beaufortschools.net/,Melissa Holland,,,68
2023,"Beaufort
County School
District",St. Helena Elementary,701020,E,"1025 Sea Island
Pkwy",St Helena Island,SC,29920,PK-5,347,843-838-0300,https://shes.beaufortschools.net/,Dr. Tara Mack,,,31
