ReportCardYear,DistrictNm,SchoolNm,SCHOOLID,"Report
Card Type
(P,E,M,H,D)",street,city,state,zip,GRADESPAN,Enrollment,hdphone,URL,headname,supername,chair,TeacherCount
2020,"Aiken County
Public School
District","East Aiken School Of The
Arts",0201027,E,223 Old Wagener Road,Aiken,SC,29801,PK-5,603,803-641-2450,www.acpsd.net/EASA,Lisa Fallaw,,,43
2020,"Aiken County
Public School
District",Schofield Middle School,0201028,M,224 Kershaw St. NE,Aiken,SC,29801,7-8,570,803 641-2770,https://www.acpsd.net/SMS,Scott Floyd,,,36
2020,"Aiken County
Public School
District","Gloverville Elementary
School",0201029,E,114 Gloria Rush Circle,", Gloverville",SC,29828,PK-5,355,"803-593-7280
",https://www.acpsd.net/GLES,Sarah Roxanne Hyer,,,26
2020,"Aiken County
Public School
District",Greendale Elementary,0201030,E,505 South Boundary Ave,New Ellenton,SC,29809,PK-5,405,803-652-8170,https://www.acpsd.net/GRES,Caroline Barker,,,28
2020,"Aiken County
Public School
District",Hammond Hill Elementary,0201031,E,"901 West Woodlawn
Avenue",North Augusta,SC,29841,PK-5,716,803-442-6170,https://www.acpsd.net/HHES,Eric L. Jeffcoat,,,44
2020,"Aiken County
Public School
District","Jackson Stem Magnet
Middle School",0201033,M,"18731 Atomic Road
","Jackson, SC",SC,29831,6-8,353,803-471-2237,https://www.acpsd.net/Domain/9,Perry F. Smith Sr.,,,20
2020,"Aiken County
Public School
District",Millbrook Elementary,0201035,E,255 East Pine Log Road,Aiken,SC,29803,PK-5,558,8036412580,https://www.acpsd.net/MES,John Metts,,,36
2020,"Aiken County
Public School
District","North Aiken Elementary
School",0201038,E,100 Bears Rock Road,Aiken,SC,29801,PK-5,440,803-641-2690,https://www.acpsd.net/NAIES,Elisa Sanders-Pee,,,34
2020,"Aiken County
Public School
District",North Augusta Elementary,0201039,E,"400 East Spring Grove
Avenue",North Augusta,SC,29841,PK-5,656,803-442-6280,https://www.acpsd.net/NAUES,Patricia J. Wilson,,,44
2020,"Aiken County
Public School
District","Cyril B. Busbee Elementary
School",0201051,E,20 A. L. Corbett Circle,Wagener,SC,29164,PK-5,464,803-564-1000,https://www.acpsd.net/Domain/6717,Sonya Colvin,,,35
2020,"Aiken County
Public School
District",Warrenville Elementary,0201052,E,"569 Howlandville Road
",Warrenville,SC,29851,PK-5,361,803-663-4270,https://www.acpsd.net/WES,Charlene Heard,,,30
2020,"Aiken County
Public School
District","Oakwood-Windsor
Elementary School",0201054,E,3773 Charleston Highway,Aiken,SC,29803,PK-5,427,803-641-2560,https://www.acpsd.net/OWES,Davina Truitt,,,30
2020,"Aiken County
Public School
District","Redcliffe Elementary
School",0201055,E,"22 Double Springs Road
",Aiken,SC,29803,PK-5,729,803-827-3350,https://www.acpsd.net/Domain/42,Terra van der Linden,,,47
2020,"Aiken County
Public School
District",Chukker Creek Elementary,0201056,E,1830 Chukker Creek Road,Aiken,SC,29803,PK-5,748,803-641-2474,https://www.acpsd.net/Domain/29,Amy Gregory,,,50
2020,"Aiken County
Public School
District",Mossy Creek Elementary,0201058,E,421 W Five Notch Road,North Augusta,SC,29841,PK-5,654,803-442-6090,https://www.acpsd.net/MCES,Jeffery A Matthews,,,46
2020,"Aiken County
Public School
District","Ridge Spring-Monetta
Elementary School",0201059,E,422 Hazzard Circle,Ridge Spring,SC,29129,PK-5,375,803-685-2000,https://www.acpsd.net/Domain/43,Callie Herlong,,,31
2020,"Aiken County
Public School
District","Ridge Spring-Monetta High
School",0201060,H,1071 Trojan Rd.,Monetta,SC,29105,9-12,253,803-685-2100,acpsd.net/RSMMHS,Dr. KaRon L. Webb,,,18
2020,"Aiken County
Public School
District",Aiken Scholars Academy,0201061,H,471 University Parkway,Aiken,SC,29801,9-12,92,803-306-1400,www.aikenscholars.com,Martha Messick,,,7
2020,"Aiken County
Public School
District","Ridge Spring Monetta
Middle",0201062,M,1071 Trojan Road,Monetta,SC,29105,6-8,198,803-685-2500,https://www.acpsd.net/Domain/6718,Mr. Sidney Johnson,,,15
2020,"Aiken County
Public School
District",A. L. Corbett Middle School,0201063,M,"10 A. L. Corbett Circle
",Wagener,SC,29164,6-8,184,803-564-1050,https://www.acpsd.net/CORBETT,"Mrs. Michelle B.
Kennedy
Interim Principal",,,13
2020,"Aiken County
Public School
District",Graniteville Elementary,0201066,E,1 Willis Circle,Graniteville,SC,29829,PK-5,277,803-663-9998,https://www.acpsd.net/GVES,Michelle Padgett,,,22
2020,"Aiken County
Public School
District",Aiken Intermediate School,0201067,M,687 Explorer Trail,Aiken,SC,29801,6,544,803-641-2570,https://www.acpsd.net/Domain/10,Eileen Denise McCray,,,35
2020,"Aiken County
Public School
District",Lloyd-Kennedy Charter,0201601,E,,,SC,0,3-8,67,,,,,,4
2020,"Aiken County
Public School
District",Lloyd-Kennedy Charter,0201601,M,,,SC,0,3-8,67,,,,,,4
2020,"Aiken County
Public School
District",Horse Creek Academy,0201602,E,,,SC,0,PK-8,566,,,,,,36
2020,"Aiken County
Public School
District",Horse Creek Academy,0201602,M,,,SC,0,PK-8,566,,,,,,36
2020,"Aiken County
Public School
District","Aiken County Public School
District",0201999,D,1000 Brookhaven Drive,"Aiken, SC",SC,29803,PK-12,24134,803-641-2428,http://www.acpsd.net,Mr. King Laurence,"Mr. King
Laurence","Mr. Keith
Liner",1601
2020,"Allendale
County
Schools",Allendale-Fairfax High,0301001,H,3581 Allendale-Fairfax Hwy.,Fairfax,SC,29827,9-12,279,8035842311,https://www.acs.k12.sc.us/o/afhs,Darlene D. Hall,,,28
2020,"Allendale
County
Schools",Allendale Elementary,0301004,E,"3305 Allendale Fairfax
Highway",Fairfax,SC,29827,3-5,248,803-584-3476,https://www.acs.k12.sc.us/o/aes,Sheila Leath,,,18
2020,"Allendale
County
Schools",Fairfax Elementary School,0301006,P,734 14th St East,Fairfax,SC,29827,PK-2,280,803-632-2536,https://www.acs.k12.sc.us/o/ffes,Dr. Beverly McCullough,,,26
2020,"Allendale
County
Schools","Allendale-Fairfax Middle
School",0301008,M,3581 Allendale-Fairfax Hwy,Fairfax,SC,29827,6-8,267,803-584-3489,https://www.acs.k12.sc.us/o/afms,Shamari Moody,,,18
2020,"Allendale
County
Schools",Allendale County Schools,0301999,D,3249 Allendale-Fairfax Hwy,Fairfax,SC,29827,PK-12,1074,803-584-4603,www.acs.k12.sc.us,Dr. Margaret A. Gilmore,"Dr. Margaret
A. Gilmore",N/A,90
2020,"Anderson
School District
One",Palmetto High,0401001,H,804 North Hamilton Street,Williamston,SC,29697,9-12,969,864-847-7311,http://www.anderson1.k12.sc.us/Domain/971,Robert A Roach,,,53
2020,"Anderson
School District
One",Powdersville High School,0401002,H,145 Hood Road,Greenville,SC,29611,9-12,905,864-312-5641,https://www.anderson1.org/pvhs,Dr. Chris Ferguson,,,45
2020,"Anderson
School District
One",Wren High School,0401003,H,905 Wren School Rd,Piedmont,SC,29673,9-12,1067,864-850-5900,https://www.anderson1.org/Domain/1101,Dr Seth Young,,,55
2020,"Anderson
School District
One",Palmetto Elementary,0401004,E,1 Roberts Blvd.,Williamston,SC,29697,PK-5,566,864-847-5442,https://www.anderson1.org/Domain/330,Amy W. Cothran,,,42
2020,"Anderson
School District
One",Cedar Grove Elementary,0401005,E,107 Melvin Lane,Williamston,SC,29697,PK-5,624,864-847-3500,https://www.anderson1.k12.sc.us/,Kristie Finley,,,40
2020,"Anderson
School District
One",Concrete Primary,0401006,P,535 Powdersville Main,Easley,SC,29642,PK-2,752,864-269-4571,https://www.anderson1.org/cces,Sherry Padgett,,,38
2020,"Anderson
School District
One",Wren Middle School,0401008,M,1010 Wren School Road,Piedmont,SC,29673,6-8,910,864-850-5930,https://www.anderson1.org/Domain/879,Mr. Jonathan Shoffstall,,,56
2020,"Anderson
School District
One","West Pelzer Elementary
School",0401009,E,110 W Stewart Street,Pelzer,SC,29669,PK-5,429,864-947-6424,https://sc01000609.schoolwires.net/Domain/557,Amy Bagwell,,,32
2020,"Anderson
School District
One",Spearman Elementary,0401011,E,2001 Easley Hwy,Piedmont,SC,29669,PK-5,690,864-947-9787,https://www.anderson1.k12.sc.us/Domain/488,Jason Lesley,,,40
2020,"Anderson
School District
One",Palmetto Middle School,0401012,M,803 N Hamilton St.,"Williamston, SC",SC,29697,6-8,825,864-847-4333,anderson1.org/palmetto middle,Jason McCauley,,,52
2020,"Anderson
School District
One",Wren Elementary School,0401013,E,226 Roper Rd.,Piedmont,SC,29673,PK-5,570,864-850-5950,https://www.anderson1.org/domain/624,Tommy Bolger,,,32
2020,"Anderson
School District
One","Hunt Meadows Elementary
School",0401014,E,420 Hunt Rd.,Easley,SC,29642,PK-5,549,864-850-3987,https://sc01000609.schoolwires.net/Domain/262,Carrie Pennington,,,33
2020,"Anderson
School District
One",Powdersville Middle,0401061,M,130 Roe Road,"Greenville,",SC,29611,6-8,733,8642691821,https://sc01000609.schoolwires.net/Domain/793,Marvin Todd Binnicker,,,49
2020,"Anderson
School District
One","Powdersville Elementary
School",0401062,E,139 Hood Road,Greenville,SC,29611,3-5,654,864-269-4431,https://www.anderson1.org/pves,Bradley T. Moore,,,39
2020,"Anderson
School District
One","Anderson School District
One",0401999,D,801 N. Hamilton Street,Williamston,SC,29697,PK-12,10243,864-847-7344,www.anderson1.org,Robbie Binnicker,"Robbie
Binnicker","Nancy
Upton",608
2020,Anderson 2,"Belton-Honea Path High
School",0402012,H,"11000 Belton Honea Path
Highway",Honea Path,SC,29654,9-12,1084,864-369-7382,http://bhp.anderson2.org/,Mary Boarts,,,56
2020,Anderson 2,Belton Elementary School,0402013,E,202 Watkins Street,Belton,SC,29627,3-5,426,864-369-4710,http://bes.anderson2.org/,Tracy Hedrick,,,30
2020,Anderson 2,Belton Middle School,0402014,M,102 Cherokee Rd.,Belton,SC,29627,6-8,550,864-369-4712,bms.anderson2.org,Josh Burton,,,35
2020,Anderson 2,Marshall Primary,0402015,P,218 Bannister Street,Belton,SC,29627,PK-2,480,864-369-4716,http://mps.anderson2.org/,Shelly Blalock,,,30
2020,Anderson 2,Honea Path Elementary,0402018,E,806 E. Greer St.,Honea Path,SC,29654,PK-5,558,864-369-7612,hpe.anderson2.org,Jeremy Sauceman,,,39
2020,Anderson 2,Honea Path Middle School,0402019,M,107 Brock Avenue,Honea Path,SC,29654,6-8,362,864-369-7641,http://hpms.anderson2.org/,John Michael Hall,,,24
2020,Anderson 2,Wright Elementary School,0402021,E,1136 Wright School Road,Belton,SC,29654,K-5,204,864-296-1776,wes.anderson2.org,Kim Whitt,,,17
2020,Anderson 2,Anderson 2,0402999,D,"10990 Belton-Honea Path
Hwy",Honea Path,SC,29654,PK-12,3664,864-369-7364,http://anderson2.org,Dr. Richard Rosenberger,"Dr. Richard
Rosenberger","Brenda
Cooley",233
2020,"Anderson
School District
Three",Crescent High School,0403022,H,9104 Highway 81 South,Iva,SC,29655,9-12,718,864-352-6175,acsd3.org/o/crescent-high-school,Mr. T. Cliff Roberts,,,47
2020,"Anderson
School District
Three",Iva Elementary School,0403024,E,"803 Antreville Hwy Iva SC
29655, 335 West Front
S
335 West Front Street",Iva,SC,29655,PK-5,388,8643486400,https://www.acsd3.org/o/iva-elementary-school,Daniel Crawford,,,31
2020,"Anderson
School District
Three",Starr-Iva Middle School,0403025,M,1034 Rainey Road,Starr,SC,29684,6-8,612,864-352-6146,https://www.acsd3.org/o/starr-iva-middle-school,Adam Coats,,,35
2020,"Anderson
School District
Three",Starr Elementary,0403026,E,400 Professor Brown Lane,Starr,SC,29684,PK-5,494,864-352-6154,acsd3.org/o/starr-elem-school,Melissa Davis,,,35
2020,"Anderson
School District
Three",Flat Rock Elementary,0403027,E,115 Thompson Road,Anderson,SC,29624,PK-5,399,864-296-9191,https://www.acsd3.org/o/flat-rock-elementary-school,Christy H. Dodd,,,27
2020,"Anderson
School District
Three","Anderson School District
Three",0403999,D,"335 West Front Street/P.O.
Box 118",Iva,SC,29655,PK-12,2611,8643486196,www.acsd3.org,Kathy Hipp,Kathy Hipp,Curtis Wiles,175
2020,Anderson 4,Pendleton High,0404027,H,7324 Hwy 187,Anderson,SC,29625,9-12,829,864-403-2100,https://phs.anderson4.org/,Brian Couch,,,52
2020,Anderson 4,Riverside Middle School,0404029,M,458 Riverside Street,"458 Riverside
Street",SC,29670,7-8,459,864 403 2200,https://rms.anderson4.org/,Jeff Boozer,,,33
2020,Anderson 4,La France Elementary,0404031,E,550 Williams St,Pendleton,SC,29670,PK-6,422,8644032300,https://les.anderson4.org/,Melida Reeves,,,29
2020,Anderson 4,Pendleton Elementary,0404034,E,902 East Queen Street,Pendleton,SC,29670,PK-6,373,864-403-2500,pes.anderson4.org,Jeffrey Simpson,,,31
2020,Anderson 4,Townville Elementary,0404036,E,"PO Box 10, 105 Townville
School Road",Townville,SC,29689,PK-6,280,864-403-2600,https://tes.anderson4.org/,Denise B. Fredericks,,,20
2020,Anderson 4,"Mount Lebanon Elementary
School",0404037,E,2850 Lebanon Road,Pendleton,SC,29670,PK-6,497,864-403-2400,mles.anderson4.org,Elliott Southard,,,32
2020,Anderson 4,Anderson 4,0404999,D,315 East Queen Street,Pendleton,SC,29642,PK-12,2860,8644032000,www.anderson4.org,Dr. Joanne Avery,"Dr. Joanne
Avery","Dr. Tom
Dobbins",197
2020,"Anderson
School District
Five",T. L. Hanna High School,0405038,H,2600 Hwy 81 N.,Anderson,SC,29621,9-12,1851,864-260-5110,https://www.anderson5.net/Domain/25,Walter A. Mayfield,,,97
2020,"Anderson
School District
Five",Mccants Middle School,0405040,M,2325 Marchbanks Avenue,Anderson,SC,29621,6-8,641,8642605145,https://www.anderson5.net/Domain/21,Kelly P. Elrod,,,49
2020,"Anderson
School District
Five","Centerville Elementary
School",0405044,E,1529 Whitehall Road,Anderson,SC,29625,K-5,681,864-260-5100,www.anderson5.net/Centerville,Jenifer Seymour,,,45
2020,"Anderson
School District
Five","Concord Elementary
School",0405045,E,2701 Calrossie Road,Anderson,SC,29621,K-5,563,864-260-5105,https://www.anderson5.net/concord,Tonna M Marroni,,,38
2020,"Anderson
School District
Five","Homeland Park Primary
School",0405047,P,3519 Wilmont Street,"Anderson, SC",SC,29624,PK-2,447,864-260-5125,https://www.anderson5.net,Gary Bruhjell,,,32
2020,"Anderson
School District
Five",Westside High School,0405048,H,806 Pearman Dairy Road,Anderson,SC,29625,9-12,1667,864-260-5230,https://www.anderson5.net/westside,Mr. Kory Roberts,,,94
2020,"Anderson
School District
Five","Nevitt Forest Elementary
School",0405050,E,1401 Bolt Drive,Anderson,SC,29621,K-5,510,864-260-5190,https://www.anderson5.net/nevittforest,Robin S. Gay,,,35
2020,"Anderson
School District
Five","New Prospect Elementary
School",0405051,E,"126 New Prospect Church
Road",Anderson,SC,29625,K-5,500,864-260-595,https://www.anderson5.net/newprospect,Brian Williams,,,36
2020,"Anderson
School District
Five","Varennes Elementary
School",0405055,E,1820 Hwy 29 South,Anderson,SC,29626,3-5,342,864-260-5215,www.anderson5.net/Domain/17,"Mrs. Taria S. McIntosh, Ed.
S",,,27
2020,"Anderson
School District
Five","Whitehall Elementary
School",0405059,E,702 Whitehall Rd.,Anderson,SC,29625,PK-5,514,8642605255,www.anderson5.net/whitehall,Jennifer Bufford,,,36
2020,"Anderson
School District
Five","Calhoun Academy Of The
Arts",0405060,E,1520 East Calhoun Street,Anderson,SC,29621,K-5,552,864-260--5090,https://www.anderson5.net/Domain/8,Ann Self,,,39
2020,"Anderson
School District
Five",Midway Elementary School,0405061,E,1221 Harriet Circle,Anderson,SC,29621,K-5,749,864-716-3800,https://www.anderson5.net/Domain/13,Brandon Meares,,,48
2020,"Anderson
School District
Five",Mclees Elementary,0405062,E,4900 Dobbins Bridge Road,Anderson,SC,29626,K-5,627,864-716-3600,www.anderson5.net/Domain/12,Janet Mills,,,44
2020,"Anderson
School District
Five","Robert Anderson Middle
School",0405063,M,2302 Dobbins Bridge Road,Anderson,SC,29626,6-8,1315,864-716-3890,https://www.anderson5.net/robertanderson,Curtis Smith,,,88
2020,"Anderson
School District
Five",Glenview Middle School,0405064,M,2575 Old Williamston Road,Anderson,SC,29621,6-8,780,864-716-4060,https://www.anderson5.net/Domain/19,Leonard Galloway,,,50
2020,"Anderson
School District
Five","Southwood Academy Of
The Arts",0405065,M,1110 Southwood Street,Anderson,SC,29624,6-8,373,864-260-5205,https://www.anderson5.net/Domain/23,James A. Smith,,,37
2020,"Anderson
School District
Five","North Pointe Elementary
School",0405066,E,3325 Highway 81 North,"Anderson, SC",SC,29621,PK-5,606,864-260-5040,www.anderson5.net/northpointe,Jill S. Gilreath,,,38
2020,"Anderson
School District
Five","Anderson Five Charter
School",0405601,H,1225 South McDuffie Street,Anderson,SC,29624,9-12,58,864-260-5160,https://www.anderson5.net/Domain/4026,Katie Brown,,,12
2020,"Anderson
School District
Five","Anderson School District
Five",0405999,D,400 Pearman Dairy Road,Anderson,SC,29625,PK-12,13043,864-260-5000,www.anderson5.net,Thomas A. Wilson,"Thomas A.
Wilson","Tommy
Price",897
2020,"Bamberg
School District
1","Bamberg-Ehrhardt High
School",0501001,H,267 Red Raider Drive,Bamberg,SC,29003,9-12,379,803-245-3030,https://behs.bamberg1.net/,Dennis Randall Ulmer Jr,,,27
2020,"Bamberg
School District
1","Bamberg-Ehrhardt Middle
School",0501002,M,897 North Street,Bamberg,SC,29003,7-8,184,803-245-3058,http://bems.bamberg1.net/,Denise L. Miller,,,15
2020,"Bamberg
School District
1",Richard Carroll Elementary,0501006,E,1980 Main Highway,Bamberg,SC,29003,PK-6,682,8032453043,https://rces.bamberg1.net/,Stacey Walter,,,51
2020,"Bamberg
School District
1",Bamberg School District 1,0501999,D,3830 Faust St,Bamberg,SC,29003,PK-12,1245,803-245-3053,https://www.bamberg1.net/,Phyllis K. Schwarting,"Phyllis K.
Schwarting","Mrs. Janeth
Walker",93
2020,Bamberg 2,Denmark Olar High,0502007,H,197 Viking Circle,Denmark,SC,29042,9-12,163,803-793-3307,www.bamberg2.org,Dr. Deonia Simmons,,,18
2020,Bamberg 2,Denmark-Olar Middle,0502008,M,45 Green Street,Denmark,SC,29042,6-8,151,803-793-3383,https://www.bamberg2.org,Daryl Brockington,,,10
2020,Bamberg 2,Denmark Olar Elementary,0502010,E,1459 Solomon Blatt Blvd,Denmark,SC,29042,PK-5,353,803 793 3112,https://www.bamberg2.org,Lorraine J Peeples,,,25
2020,Bamberg 2,Bamberg 2,0502999,D,62 Holly Avenue,Denmark,SC,29042,PK-12,667,803-793-3346,www.bamberg2.org,Dr. Thelma F. Sojourner,"Dr. Thelma
F. Sojourner","Mrs.
Beverly P.
Bonap",53
2020,Barnwell 19,"Blackville Hilda High
School",0619001,H,76 Atkins Circle,Blackville,SC,29817,9-12,177,803-284-5700,,Christina Snider,,,10
2020,Barnwell 19,"Macedonia
Elementary-Middle School",0619003,E,556 Jones Bridge Rd.,Blackville,SC,29817,PK-8,418,803-284-5800,Barnwell19.k12.sc.us/3/profile,Eryl M. Smalls,,,26
2020,Barnwell 19,"Macedonia
Elementary-Middle School",0619003,M,556 Jones Bridge Rd.,Blackville,SC,29817,PK-8,418,803-284-5800,Barnwell19.k12.sc.us/3/profile,Eryl M. Smalls,,,26
2020,Barnwell 19,Barnwell 19,0619999,D,446 Country Club Road,Blackville,SC,29817,PK-12,595,803-284-5608,https://www.barnwell19.k12.sc.us/,David W. Corder,"David W.
Corder","Karen
Jowers",36
2020,"Williston
School District
29",Williston-Elko High School,0629006,H,"12233 Main Street
",Williston,SC,29853,9-12,236,803-266-3110,https://www.williston.k12.sc.us/1/Home,John Bradley,,,19
2020,"Williston
School District
29",Kelly Edwards Elementary,0629007,E,1071 Elko St.,Williston,SC,29853,PK-5,395,803-266-3737,https://www.williston.k12.sc.us/3/Home,Nakeisha Baxley,,,29
2020,"Williston
School District
29","Williston - Elko Middle
School",0629008,M,12333 Main St,Williston,SC,29853,6-8,198,803-266-3430,https://www.williston.k12.sc.us/2/Home,Tammy K Briggs,,,14
2020,"Williston
School District
29",Williston School District 29,0629999,D,12255 Main Street,Williston,SC,29829,PK-12,829,803-266-7878,www.williston.k12.sc.us,Dr. Marcella Shaw,"Dr. Marcella
Shaw","Michael
Hutto",62
2020,"Barnwell
School District
45",Barnwell High School,0645009,H,474 Jackson Street,Barnwell,SC,29812,9-12,599,803-541-1390,http://bhs.bsd45.net/,Franklin McCormack,,,42
2020,"Barnwell
School District
45","Guinyard-Butler Middle
School",0645010,M,779 Allen Street,Barnwell,SC,29812,7-8,322,803-541-1370,https://barnwell-gbms.weebly.com,"Dr. Jessica
Brabham-James",,,24
2020,"Barnwell
School District
45",Barnwell Primary School,0645011,P,9286 Marlboro Avenue,Barnwell,SC,29812,PK-3,736,803-541-1320,https://bpsbsd45.weebly.com/,Donna Selvey,,,52
2020,"Barnwell
School District
45","Barnwell Elementary
School",0645012,E,10524 Marlboro Avenue,Barnwell,SC,29812,4-6,463,803-541-1285,www.barnwellelementary.net,Kay M. Gooding,,,32
2020,"Barnwell
School District
45",Barnwell School District 45,0645999,D,770 Hagood Avenue,Barnwell,SC,29812,PK-12,2120,803-541-1300,barwell45.org,Mrs. Crystal F. Stapleton,"Mrs. Crystal
F. Stapleton","Rhett
Richardson",150
2020,"Beaufort
County
Schools","Lady's Island Middle
School",0701001,M,30 Cougar Dr.,Beaufort,SC,29907,6-8,544,843-322-3100,https://lims.beaufortschools.net/,Gregory Hall,,,39
2020,"Beaufort
County
Schools",Beaufort High School,0701002,H,84 Sea Island Parkway,Beaufort,SC,29907,9-12,1258,8433222000,https://bhs.beaufortschools.net/,Charity Summers,,,82
