DISTRICT,SCHOOL,BEDSCODE,H,GNUMERATOR_OVERALL,GDENOM_OVERALL,GPERCENT_OVERALL,GNUMERATOR_GENDER_M,GDENOM_GENDER_M,GPERCENT_GENDER_M,GNUMERATOR_GENDER_F,GDENOM_GENDER_F,GPERCENT_GENDER_F,GNUMERATOR_RACE_W,GDENOM_RACE_W,GPERCENT_RACE_W,GNUMERATOR_RACE_B,GDENOM_RACE_B,GPERCENT_RACE_B,GNUMERATOR_RACE_H,GDENOM_RACE_H,GPERCENT_RACE_H,GNUMERATOR_RACE_I,GDENOM_RACE_I,GPERCENT_RACE_I,GNUMERATOR_RACE_A,GDENOM_RACE_A,GPERCENT_RACE_A,GNUMERATOR_DISABLED_NO,GDENOM_DISABLED_NO,GPERCENT_DISABLED_NO,GNUMERATOR_DISABLED_YES,GDENOM_DISABLED_YES,GPERCENT_DISABLED_YES,GNUMERATOR_POVERTY_NO,GDENOM_POVERTY_NO,GPERCENT_POVERTY_NO,GNUMERATOR_POVERTY_YES,GDENOM_POVERTY_YES,GPERCENT_POVERTY_YES,GNUMERATOR_MIGRANT_NO,GDENOM_MIGRANT_NO,GPERCENT_MIGRANT_NO,GNUMERATOR_MIGRANT_YES,GDENOM_MIGRANT_YES,GPERCENT_MIGRANT_YES,GNUMERATOR_LEP_NO,GDENOM_LEP_NO,GPERCENT_LEP_NO,GNUMERATOR_LEP_YES,GDENOM_LEP_YES,GPERCENT_LEP_YES,GNUMERATOR_HOMELESS_YES,GDENOM_HOMELESS_YES,GPERCENT_HOMELESS_YES,GNUMERATOR_HOMELESS_NO,GDENOM_HOMELESS_NO,GPERCENT_HOMELESS_NO
AIKEN,RIDGE SPRING-MONETTA MIDDLE HIGH,201060,H,44,49,89.80,23,26,88.46,21,23,91.30,17,21,80.95,23,24,95.83,-1,-1,-1.00,,,,-1,-1,-1.00,37,39,94.87,7,10,70.00,10,11,90.91,34,36,94.44,44,49,89.80,,,,42,47,89.36,-1,-1,-1.00,-1,-1,-1.00,41,46,89.13
AIKEN,AIKEN PERFORMING ARTS ACADEMY CHARTER,201603,H,8,10,80.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,,,,,,,,,,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,8,10,80.00,,,,8,10,80.00,,,,,,,8,10,80.00
AIKEN,DISTRICT NO CHARTER,201888,,1415,1572,90.01,691,799,86.48,724,773,93.66,797,867,91.93,506,587,86.20,93,98,94.90,-1,-1,-1.00,14,15,93.33,1323,1422,93.04,92,150,61.33,740,760,97.37,619,703,88.05,1415,1572,90.01,,,,1361,1514,89.89,54,58,93.10,35,54,64.81,1380,1518,90.91
AIKEN,DISTRICT WITH CHARTER,201999,,1423,1582,89.95,694,803,86.43,729,779,93.58,799,871,91.73,512,593,86.34,93,98,94.90,-1,-1,-1.00,14,15,93.33,1331,1431,93.01,92,151,60.93,741,761,97.37,623,709,87.87,1423,1582,89.95,,,,1369,1524,89.83,54,58,93.10,35,54,64.81,1388,1528,90.84
ALLENDALE,ALLENDALE FAIRFAX HIGH,301001,H,76,91,83.52,40,49,81.63,36,42,85.71,-1,-1,-1.00,74,88,84.09,-1,-1,-1.00,,,,,,,73,81,90.12,3,10,30.00,-1,-1,-1.00,67,78,85.90,76,91,83.52,,,,76,91,83.52,,,,-1,-1,-1.00,75,90,83.33
ALLENDALE,DISTRICT NO CHARTER,301888,,76,91,83.52,40,49,81.63,36,42,85.71,-1,-1,-1.00,74,88,84.09,-1,-1,-1.00,,,,,,,73,81,90.12,3,10,30.00,-1,-1,-1.00,67,78,85.90,76,91,83.52,,,,76,91,83.52,,,,-1,-1,-1.00,75,90,83.33
ALLENDALE,DISTRICT WITH CHARTER,301999,,76,91,83.52,40,49,81.63,36,42,85.71,-1,-1,-1.00,74,88,84.09,-1,-1,-1.00,,,,,,,73,81,90.12,3,10,30.00,-1,-1,-1.00,67,78,85.90,76,91,83.52,,,,76,91,83.52,,,,-1,-1,-1.00,75,90,83.33
ANDERSON 1,PALMETTO HIGH,401001,H,235,273,86.08,117,138,84.78,117,134,87.31,194,222,87.39,15,20,75.00,24,28,85.71,-1,-1,-1.00,,,,219,240,91.25,16,33,48.48,113,114,99.12,106,122,86.89,235,273,86.08,,,,228,263,86.69,7,10,70.00,15,24,62.50,220,249,88.35
ANDERSON 1,POWDERSVILLE HIGH,401002,H,230,245,93.88,133,139,95.68,97,106,91.51,193,205,94.15,20,20,100.00,8,11,72.73,-1,-1,-1.00,-1,-1,-1.00,223,232,96.12,7,13,53.85,163,163,100.00,65,70,92.86,230,245,93.88,,,,226,240,94.17,-1,-1,-1.00,9,10,90.00,221,235,94.04
ANDERSON 1,WREN HIGH,401003,H,268,280,95.71,139,146,95.21,129,134,96.27,240,249,96.39,19,21,90.48,-1,-1,-1.00,,,,-1,-1,-1.00,246,251,98.01,22,29,75.86,193,194,99.48,64,70,91.43,268,280,95.71,,,,266,278,95.68,-1,-1,-1.00,7,10,70.00,261,270,96.67
ANDERSON 1,DISTRICT NO CHARTER,401888,,733,798,91.85,389,423,91.96,343,374,91.71,627,676,92.75,54,61,88.52,36,43,83.72,-1,-1,-1.00,11,12,91.67,688,723,95.16,45,75,60.00,469,471,99.58,235,262,89.69,733,798,91.85,,,,720,781,92.19,13,17,76.47,31,44,70.45,702,754,93.10
ANDERSON 1,DISTRICT WITH CHARTER,401999,,733,798,91.85,389,423,91.96,343,374,91.71,627,676,92.75,54,61,88.52,36,43,83.72,-1,-1,-1.00,11,12,91.67,688,723,95.16,45,75,60.00,469,471,99.58,235,262,89.69,733,798,91.85,,,,720,781,92.19,13,17,76.47,31,44,70.45,702,754,93.10
ANDERSON 2,BELTON HONEA PATH HIGH,402012,H,243,272,89.34,127,144,88.19,116,128,90.63,195,217,89.86,43,50,86.00,-1,-1,-1.00,,,,-1,-1,-1.00,231,252,91.67,12,20,60.00,127,127,100.00,109,117,93.16,243,272,89.34,,,,242,271,89.30,-1,-1,-1.00,-1,-1,-1.00,240,269,89.22
ANDERSON 2,DISTRICT NO CHARTER,402888,,243,272,89.34,127,144,88.19,116,128,90.63,195,217,89.86,43,50,86.00,-1,-1,-1.00,,,,-1,-1,-1.00,231,252,91.67,12,20,60.00,127,127,100.00,109,117,93.16,243,272,89.34,,,,242,271,89.30,-1,-1,-1.00,-1,-1,-1.00,240,269,89.22
ANDERSON 2,DISTRICT WITH CHARTER,402999,,243,272,89.34,127,144,88.19,116,128,90.63,195,217,89.86,43,50,86.00,-1,-1,-1.00,,,,-1,-1,-1.00,231,252,91.67,12,20,60.00,127,127,100.00,109,117,93.16,243,272,89.34,,,,242,271,89.30,-1,-1,-1.00,-1,-1,-1.00,240,269,89.22
ANDERSON 3,CRESCENT HIGH,403022,H,166,185,89.73,87,100,87.00,79,85,92.94,140,150,93.33,22,31,70.97,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,154,166,92.77,12,19,63.16,59,61,96.72,98,104,94.23,166,185,89.73,,,,165,184,89.67,-1,-1,-1.00,-1,-1,-1.00,158,176,89.77
ANDERSON 3,DISTRICT NO CHARTER,403888,,166,186,89.25,87,100,87.00,79,86,91.86,140,151,92.72,22,31,70.97,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,154,166,92.77,12,20,60.00,59,61,96.72,98,105,93.33,166,186,89.25,,,,165,185,89.19,-1,-1,-1.00,-1,-1,-1.00,158,177,89.27
ANDERSON 3,DISTRICT WITH CHARTER,403999,,166,186,89.25,87,100,87.00,79,86,91.86,140,151,92.72,22,31,70.97,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,154,166,92.77,12,20,60.00,59,61,96.72,98,105,93.33,166,186,89.25,,,,165,185,89.19,-1,-1,-1.00,-1,-1,-1.00,158,177,89.27
ANDERSON 4,PENDLETON HIGH,404027,H,186,216,86.11,97,118,82.20,89,98,90.82,144,173,83.24,35,36,97.22,-1,-1,-1.00,,,,-1,-1,-1.00,160,180,88.89,26,36,72.22,91,92,98.91,86,95,90.53,186,216,86.11,,,,184,213,86.38,-1,-1,-1.00,7,11,63.64,179,205,87.32
ANDERSON 4,DISTRICT NO CHARTER,404888,,186,216,86.11,97,118,82.20,89,98,90.82,144,173,83.24,35,36,97.22,-1,-1,-1.00,,,,-1,-1,-1.00,160,180,88.89,26,36,72.22,91,92,98.91,86,95,90.53,186,216,86.11,,,,184,213,86.38,-1,-1,-1.00,7,11,63.64,179,205,87.32
ANDERSON 4,DISTRICT WITH CHARTER,404999,,186,216,86.11,97,118,82.20,89,98,90.82,144,173,83.24,35,36,97.22,-1,-1,-1.00,,,,-1,-1,-1.00,160,180,88.89,26,36,72.22,91,92,98.91,86,95,90.53,186,216,86.11,,,,184,213,86.38,-1,-1,-1.00,7,11,63.64,179,205,87.32
ANDERSON 5,T. L. HANNA HIGH,405038,H,367,417,88.01,176,204,86.27,191,213,89.67,236,253,93.28,108,138,78.26,13,16,81.25,-1,-1,-1.00,-1,-1,-1.00,342,370,92.43,25,47,53.19,235,237,99.16,119,139,85.61,367,417,88.01,,,,359,406,88.42,8,11,72.73,11,14,78.57,356,403,88.34
ANDERSON 5,WESTSIDE HIGH,405048,H,364,458,79.48,181,238,76.05,183,220,83.18,181,239,75.73,151,178,84.83,27,35,77.14,-1,-1,-1.00,-1,-1,-1.00,340,399,85.21,24,59,40.68,135,143,94.41,222,258,86.05,364,458,79.48,,,,346,435,79.54,18,23,78.26,24,32,75.00,340,426,79.81
ANDERSON 5,ANDERSON  FIVE CHARTER SCHOOL,405601,H,19,23,82.61,-1,-1,-1.00,17,19,89.47,17,21,80.95,-1,-1,-1.00,-1,-1,-1.00,,,,,,,19,23,82.61,,,,-1,-1,-1.00,-1,-1,-1.00,19,23,82.61,,,,18,22,81.82,-1,-1,-1.00,-1,-1,-1.00,18,21,85.71
ANDERSON 5,DISTRICT NO CHARTER,405888,,731,877,83.35,357,444,80.41,374,433,86.37,417,493,84.58,259,316,81.96,40,52,76.92,-1,-1,-1.00,13,13,100.00,682,769,88.69,49,108,45.37,370,381,97.11,341,397,85.89,731,877,83.35,,,,705,842,83.73,26,35,74.29,35,46,76.09,696,831,83.75
ANDERSON 5,DISTRICT WITH CHARTER,405999,,750,900,83.33,359,448,80.13,391,452,86.50,434,514,84.44,260,317,82.02,41,53,77.36,-1,-1,-1.00,13,13,100.00,701,792,88.51,49,108,45.37,378,389,97.17,349,406,85.96,750,900,83.33,,,,723,864,83.68,27,36,75.00,36,48,75.00,714,852,83.80
BAMBERG 1,BAMBERG-EHRHARDT HIGH,501001,H,101,114,88.60,53,61,86.89,48,53,90.57,43,50,86.00,56,61,91.80,,,,-1,-1,-1.00,-1,-1,-1.00,96,105,91.43,-1,-1,-1.00,40,40,100.00,59,67,88.06,101,114,88.60,,,,101,114,88.60,,,,-1,-1,-1.00,101,113,89.38
BAMBERG 1,DISTRICT NO CHARTER,501888,,101,114,88.60,53,61,86.89,48,53,90.57,43,50,86.00,56,61,91.80,,,,-1,-1,-1.00,-1,-1,-1.00,96,105,91.43,-1,-1,-1.00,40,40,100.00,59,67,88.06,101,114,88.60,,,,101,114,88.60,,,,-1,-1,-1.00,101,113,89.38
BAMBERG 1,DISTRICT WITH CHARTER,501999,,101,114,88.60,53,61,86.89,48,53,90.57,43,50,86.00,56,61,91.80,,,,-1,-1,-1.00,-1,-1,-1.00,96,105,91.43,-1,-1,-1.00,40,40,100.00,59,67,88.06,101,114,88.60,,,,101,114,88.60,,,,-1,-1,-1.00,101,113,89.38
BAMBERG 2,DENMARK OLAR HIGH,502007,H,38,55,69.09,16,28,57.14,22,27,81.48,-1,-1,-1.00,38,54,70.37,,,,,,,,,,34,43,79.07,4,12,33.33,-1,-1,-1.00,31,42,73.81,38,55,69.09,,,,38,55,69.09,,,,-1,-1,-1.00,38,53,71.70
BAMBERG 2,DISTRICT NO CHARTER,502888,,38,55,69.09,16,28,57.14,22,27,81.48,-1,-1,-1.00,38,54,70.37,,,,,,,,,,34,43,79.07,4,12,33.33,-1,-1,-1.00,31,42,73.81,38,55,69.09,,,,38,55,69.09,,,,-1,-1,-1.00,38,53,71.70
BAMBERG 2,DISTRICT WITH CHARTER,502999,,38,55,69.09,16,28,57.14,22,27,81.48,-1,-1,-1.00,38,54,70.37,,,,,,,,,,34,43,79.07,4,12,33.33,-1,-1,-1.00,31,42,73.81,38,55,69.09,,,,38,55,69.09,,,,-1,-1,-1.00,38,53,71.70
BARNWELL 19,BLACKVILLE-HILDA HIGH,619001,H,47,52,90.38,21,26,80.77,26,26,100.00,16,20,80.00,30,31,96.77,,,,-1,-1,-1.00,,,,42,44,95.45,-1,-1,-1.00,-1,-1,-1.00,37,39,94.87,47,52,90.38,,,,47,52,90.38,,,,-1,-1,-1.00,46,51,90.20
BARNWELL 19,DISTRICT NO CHARTER,619888,,47,52,90.38,21,26,80.77,26,26,100.00,16,20,80.00,30,31,96.77,,,,-1,-1,-1.00,,,,42,44,95.45,-1,-1,-1.00,-1,-1,-1.00,37,39,94.87,47,52,90.38,,,,47,52,90.38,,,,-1,-1,-1.00,46,51,90.20
BARNWELL 19,DISTRICT WITH CHARTER,619999,,47,52,90.38,21,26,80.77,26,26,100.00,16,20,80.00,30,31,96.77,,,,-1,-1,-1.00,,,,42,44,95.45,-1,-1,-1.00,-1,-1,-1.00,37,39,94.87,47,52,90.38,,,,47,52,90.38,,,,-1,-1,-1.00,46,51,90.20
BARNWELL 29,WILLISTON-ELKO HIGH,629006,H,53,60,88.33,26,32,81.25,27,28,96.43,24,27,88.89,29,33,87.88,,,,,,,,,,48,53,90.57,-1,-1,-1.00,16,16,100.00,35,38,92.11,53,60,88.33,,,,53,60,88.33,,,,-1,-1,-1.00,51,57,89.47
BARNWELL 29,DISTRICT NO CHARTER,629888,,53,60,88.33,26,32,81.25,27,28,96.43,24,27,88.89,29,33,87.88,,,,,,,,,,48,53,90.57,-1,-1,-1.00,16,16,100.00,35,38,92.11,53,60,88.33,,,,53,60,88.33,,,,-1,-1,-1.00,51,57,89.47
BARNWELL 29,DISTRICT WITH CHARTER,629999,,53,60,88.33,26,32,81.25,27,28,96.43,24,27,88.89,29,33,87.88,,,,,,,,,,48,53,90.57,-1,-1,-1.00,16,16,100.00,35,38,92.11,53,60,88.33,,,,53,60,88.33,,,,-1,-1,-1.00,51,57,89.47
BARNWELL 45,BARNWELL HIGH,645009,H,118,141,83.69,62,77,80.52,56,64,87.50,60,73,82.19,52,61,85.25,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,112,128,87.50,6,13,46.15,49,50,98.00,66,74,89.19,118,141,83.69,,,,117,139,84.17,-1,-1,-1.00,,,,118,141,83.69
BARNWELL 45,DISTRICT NO CHARTER,645888,,118,141,83.69,62,77,80.52,56,64,87.50,60,73,82.19,52,61,85.25,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,112,128,87.50,6,13,46.15,49,50,98.00,66,74,89.19,118,141,83.69,,,,117,139,84.17,-1,-1,-1.00,,,,118,141,83.69
BARNWELL 45,DISTRICT WITH CHARTER,645999,,118,141,83.69,62,77,80.52,56,64,87.50,60,73,82.19,52,61,85.25,-1,-1,-1.00,-1,-1,-1.00,-1,-1,-1.00,112,128,87.50,6,13,46.15,49,50,98.00,66,74,89.19,118,141,83.69,,,,117,139,84.17,-1,-1,-1.00,,,,118,141,83.69
BEAUFORT,BEAUFORT HIGH,701002,H,287,328,87.50,143,169,84.62,144,159,90.57,164,180,91.11,92,114,80.70,24,25,96.00,-1,-1,-1.00,-1,-1,-1.00,273,306,89.22,14,22,63.64,174,178,97.75,109,127,85.83,287,328,87.50,,,,281,320,87.81,-1,-1,-1.00,-1,-1,-1.00,286,326,87.73
BEAUFORT,HILTON HEAD ISLAND HIGH,701003,H,304,337,90.21,142,166,85.54,162,171,94.74,170,181,93.92,36,42,85.71,92,108,85.19,-1,-1,-1.00,-1,-1,-1.00,294,320,91.88,10,17,58.82,210,219,95.89,78,86,90.70,304,337,90.21,,,,250,268,93.28,54,69,78.26,-1,-1,-1.00,300,331,90.63
BEAUFORT,BATTERY CREEK HIGH,701004,H,171,221,77.38,85,113,75.22,86,108,79.63,63,80,78.75,86,112,76.79,18,25,72.00,-1,-1,-1.00,-1,-1,-1.00,160,199,80.40,11,22,50.00,71,77,92.21,91,106,85.85,171,221,77.38,,,,163,212,76.89,-1,-1,-1.00,-1,-1,-1.00,168,215,78.14
BEAUFORT,BLUFFTON HIGH,701030,H,311,376,82.71,153,199,76.88,158,177,89.27,153,176,86.93,58,69,84.06,94,123,76.42,,,,-1,-1,-1.00,295,357,82.63,16,19,84.21,190,201,94.53,111,129,86.05,311,376,82.71,,,,253,293,86.35,58,83,69.88,-1,-1,-1.00,307,369,83.20
BEAUFORT,WHALE BRANCH EARLY COLLEGE HIGH,701036,H,120,143,83.92,52,70,74.29,68,73,93.15,16,19,84.21,97,116,83.62,-1,-1,-1.00,,,,,,,111,129,86.05,9,14,64.29,30,32,93.75,86,95,90.53,120,143,83.92,,,,119,141,84.40,-1,-1,-1.00,-1,-1,-1.00,117,138,84.78
BEAUFORT,MAY RIVER HIGH,701039,H,93,100,93.00,46,50,92.00,47,50,94.00,44,46,95.65,19,21,90.48,29,32,90.63,,,,-1,-1,-1.00,85,92,92.39,-1,-1,-1.00,58,60,96.67,35,37,94.59,93,100,93.00,,,,75,81,92.59,18,19,94.74,-1,-1,-1.00,92,99,92.93
BEAUFORT,ISLANDS ACADEMY,701041,H,2,17,11.76,1,12,8.33,-1,-1,-1.00,-1,-1,-1.00,1,11,9.09,-1,-1,-1.00,,,,,,,2,17,11.76,,,,-1,-1,-1.00,-1,-1,-1.00,2,17,11.76,,,,2,17,11.76,,,,-1,-1,-1.00,2,16,12.50
BEAUFORT,DISTRICT NO CHARTER,701888,,1288,1532,84.07,622,788,78.93,666,744,89.52,611,690,88.55,389,487,79.88,264,327,80.73,-1,-1,-1.00,18,22,81.82,1220,1428,85.43,68,104,65.38,735,774,94.96,510,586,87.03,1288,1532,84.07,,,,1143,1337,85.49,145,195,74.36,16,28,57.14,1272,1504,84.57
BEAUFORT,DISTRICT WITH CHARTER,701999,,1288,1532,84.07,622,788,78.93,666,744,89.52,611,690,88.55,389,487,79.88,264,327,80.73,-1,-1,-1.00,18,22,81.82,1220,1428,85.43,68,104,65.38,735,774,94.96,510,586,87.03,1288,1532,84.07,,,,1143,1337,85.49,145,195,74.36,16,28,57.14,1272,1504,84.57
BERKELEY,STRATFORD HIGH,801001,H,342,421,81.24,161,207,77.78,181,214,84.58,199,244,81.56,103,123,83.74,25,36,69.44,-1,-1,-1.00,12,15,80.00,317,375,84.53,25,46,54.35,199,212,93.87,132,165,80.00,342,421,81.24,,,,329,401,82.04,13,20,65.00,-1,-1,-1.00,337,413,81.60
BERKELEY,BERKELEY HIGH,801002,H,309,370,83.51,150,194,77.32,159,176,90.34,165,193,85.49,126,155,81.29,13,17,76.47,-1,-1,-1.00,-1,-1,-1.00,290,328,88.41,19,42,45.24,151,159,94.97,149,171,87.13,309,370,83.51,,,,300,359,83.57,9,11,81.82,-1,-1,-1.00,305,363,84.02
BERKELEY,CROSS HIGH,801006,H,48,58,82.76,30,39,76.92,18,19,94.74,-1,-1,-1.00,44,53,83.02,,,,,,,,,,42,48,87.50,6,10,60.00,-1,-1,-1.00,40,47,85.11,48,58,82.76,,,,48,58,82.76,,,,-1,-1,-1.00,46,55,83.64
BERKELEY,GOOSE CREEK HIGH,801007,H,342,456,75.00,172,242,71.07,170,214,79.44,129,173,74.57,163,211,77.25,31,50,62.00,-1,-1,-1.00,17,19,89.47,313,385,81.30,29,71,40.85,170,190,89.47,161,219,73.52,342,456,75.00,,,,321,424,75.71,21,32,65.63,7,10,70.00,335,446,75.11
BERKELEY,HANAHAN HIGH,801008,H,216,239,90.38,101,119,84.87,115,120,95.83,133,147,90.48,59,63,93.65,10,15,66.67,-1,-1,-1.00,13,13,100.00,202,219,92.24,14,20,70.00,130,130,100.00,77,91,84.62,216,239,90.38,,,,206,227,90.75,10,12,83.33,-1,-1,-1.00,214,236,90.68
BERKELEY,TIMBERLAND HIGH,801043,H,134,175,76.57,68,95,71.58,66,80,82.50,55,81,67.90,79,93,84.95,,,,-1,-1,-1.00,,,,123,149,82.55,11,26,42.31,39,42,92.86,88,104,84.62,134,175,76.57,,,,134,175,76.57,,,,6,11,54.55,128,164,78.05
BERKELEY,CANE BAY HIGH,801049,H,370,401,92.27,191,212,90.09,179,189,94.71,220,241,91.29,106,114,92.98,32,34,94.12,-1,-1,-1.00,-1,-1,-1.00,333,350,95.14,37,51,72.55,228,233,97.85,132,147,89.80,370,401,92.27,,,,352,383,91.91,18,18,100.00,14,17,82.35,356,384,92.71
BERKELEY,BERKELEY COUNTY MIDDLE COLLEGE HIGH,801051,H,53,53,100.00,16,16,100.00,37,37,100.00,41,41,100.00,11,11,100.00,,,,,,,-1,-1,-1.00,51,51,100.00,-1,-1,-1.00,38,38,100.00,15,15,100.00,53,53,100.00,,,,52,52,100.00,-1,-1,-1.00,,,,53,53,100.00
BERKELEY,DISTRICT NO CHARTER,801888,,1814,2173,83.48,889,1124,79.09,925,1049,88.18,946,1125,84.09,691,823,83.96,111,152,73.03,14,16,87.50,52,57,91.23,1671,1905,87.72,143,268,53.36,963,1013,95.06,794,959,82.79,1814,2173,83.48,,,,1742,2079,83.79,72,94,76.60,40,59,67.80,1774,2114,83.92
BERKELEY,DISTRICT WITH CHARTER,801999,,1814,2173,83.48,889,1124,79.09,925,1049,88.18,946,1125,84.09,691,823,83.96,111,152,73.03,14,16,87.50,52,57,91.23,1671,1905,87.72,143,268,53.36,963,1013,95.06,794,959,82.79,1814,2173,83.48,,,,1742,2079,83.79,72,94,76.60,40,59,67.80,1774,2114,83.92
CALHOUN,CALHOUN COUNTY HIGH,901001,H,91,101,90.10,41,48,85.42,50,53,94.34,16,19,84.21,70,77,90.91,-1,-1,-1.00,,,,,,,84,87,96.55,7,14,50.00,24,25,96.00,65,72,90.28,91,101,90.10,,,,89,99,89.90,-1,-1,-1.00,-1,-1,-1.00,90,100,90.00
CALHOUN,DISTRICT NO CHARTER,901888,,91,101,90.10,41,48,85.42,50,53,94.34,16,19,84.21,70,77,90.91,-1,-1,-1.00,,,,,,,84,87,96.55,7,14,50.00,24,25,96.00,65,72,90.28,91,101,90.10,,,,89,99,89.90,-1,-1,-1.00,-1,-1,-1.00,90,100,90.00
